id,ticker,entry_date,actual_status,actual_outcome,actual_close_date,shares,entry_price,actual_pnl,actual_pnl_pct,without_trailing_status,without_trailing_reason,without_trailing_date,without_trailing_pnl,without_trailing_pnl_pct,delta_actual_minus_no_trailing,category
V31-0001,MRVL,2024-01-04,CLOSED,TRAILING_WIN,2024-01-05,68,58.07,39.49,1.0,CLOSED,TARGET,2024-01-08,236.93,6.0,-197.44,TRAILING_REDUCED_PROFIT
V31-0002,MRVL,2024-01-05,CLOSED,WIN,2024-01-08,67,59.92,240.88,6.0,CLOSED,TARGET,2024-01-08,240.88,6.0,0.0,NO_MATERIAL_BENEFIT_CLASS
V31-0003,NVDA,2024-01-08,CLOSED,TRAILING_WIN,2024-01-09,78,52.253,40.76,1.0,CLOSED,TARGET,2024-01-18,407.57,10.0,-366.81,TRAILING_REDUCED_PROFIT
V31-0004,LRCX,2024-01-08,CLOSED,TRAILING_WIN,2024-01-16,32,75.716,24.23,1.0,CLOSED,TARGET,2024-01-18,96.92,4.0,-72.69,TRAILING_REDUCED_PROFIT
V31-0005,MRVL,2024-01-08,CLOSED,TRAILING_WIN,2024-01-11,23,64.11,14.75,1.0,CLOSED,TARGET,2024-01-12,58.98,4.0,-44.23,TRAILING_REDUCED_PROFIT
V31-0006,NVDA,2024-01-09,CLOSED,TRAILING_WIN,2024-01-10,48,53.14,25.51,1.0,CLOSED,TARGET,2024-01-19,255.07,10.0,-229.56,TRAILING_REDUCED_PROFIT
V31-0007,AVGO,2024-01-09,CLOSED,TRAILING_WIN,2024-01-11,14,108.249,15.15,1.0,CLOSED,TARGET,2024-01-18,75.77,5.0,-60.62,TRAILING_REDUCED_PROFIT
V31-0008,NVDA,2024-01-10,CLOSED,TRAILING_WIN,2024-01-11,36,54.35,19.57,1.0,CLOSED,TARGET,2024-01-22,195.66,10.0,-176.09,TRAILING_REDUCED_PROFIT
V31-0009,NVDA,2024-01-11,CLOSED,TRAILING_WIN,2024-01-16,58,54.822,63.59,2.0,CLOSED,TARGET,2024-01-22,317.97,10.0,-254.38,TRAILING_REDUCED_PROFIT
V31-0010,MRVL,2024-01-11,CLOSED,TRAILING_WIN,2024-01-12,29,65.87,19.1,1.0,CLOSED,TARGET,2024-01-18,76.41,4.0,-57.31,TRAILING_REDUCED_PROFIT
V31-0011,NVDA,2024-01-16,CLOSED,TRAILING_WIN,2024-01-18,74,56.382,83.44,2.0,CLOSED,TARGET,2024-01-24,417.23,10.0,-333.79,TRAILING_REDUCED_PROFIT
V31-0012,AMD,2024-01-16,CLOSED,TRAILING_WIN,2024-01-17,15,158.74,23.81,1.0,CLOSED,TARGET,2024-01-18,119.05,5.0,-95.24,TRAILING_REDUCED_PROFIT
V31-0013,AMD,2024-01-17,CLOSED,TRAILING_WIN,2024-01-18,15,160.17,96.1,4.0,CLOSED,TARGET,2024-01-18,120.13,5.0,-24.03,TRAILING_REDUCED_PROFIT
V31-0014,NVDA,2024-01-18,CLOSED,TRAILING_WIN,2024-01-19,74,57.107,42.26,1.0,CLOSED,TARGET,2024-01-24,422.59,10.0,-380.33,TRAILING_REDUCED_PROFIT
V31-0015,AMD,2024-01-18,CLOSED,TRAILING_WIN,2024-01-19,15,162.67,48.8,2.0,CLOSED,TARGET,2024-01-19,122.0,5.0,-73.2,TRAILING_REDUCED_PROFIT
V31-0016,MRVL,2024-01-18,CLOSED,TRAILING_WIN,2024-01-19,23,68.21,15.69,1.0,CLOSED,TARGET,2024-01-19,62.75,4.0,-47.06,TRAILING_REDUCED_PROFIT
V31-0017,NVDA,2024-01-19,CLOSED,TRAILING_WIN,2024-01-22,72,59.491,42.83,1.0,CLOSED,TARGET,2024-02-02,428.34,10.0,-385.51,TRAILING_REDUCED_PROFIT
V31-0018,AMD,2024-01-19,CLOSED,TRAILING_WIN,2024-01-24,14,174.23,24.39,1.0,CLOSED,TARGET,2024-01-25,121.96,5.0,-97.57,TRAILING_REDUCED_PROFIT
V31-0019,MRVL,2024-01-19,CLOSED,TRAILING_WIN,2024-01-22,23,71.08,32.7,2.0,CLOSED,TIMEOUT,2024-01-31,-77.74,-4.76,110.44,TRAILING_TURNED_LOSS_TO_WIN
V31-0020,NVDA,2024-01-22,CLOSED,TRAILING_WIN,2024-01-24,56,59.654,33.41,1.0,CLOSED,TARGET,2024-02-02,334.06,10.0,-300.65,TRAILING_REDUCED_PROFIT
V31-0021,NVDA,2024-01-24,CLOSED,TRAILING_WIN,2024-01-25,71,61.362,87.13,2.0,CLOSED,TARGET,2024-02-05,435.67,10.0,-348.54,TRAILING_REDUCED_PROFIT
V31-0022,AMD,2024-01-24,CLOSED,TRAILING_WIN,2024-01-25,14,178.29,74.88,3.0,CLOSED,INITIAL_STOP,2024-01-31,-212.29,-8.51,287.17,TRAILING_TURNED_LOSS_TO_WIN
V31-0023,NVDA,2024-02-02,CLOSED,TRAILING_WIN,2024-02-05,67,66.16,177.31,4.0,CLOSED,TARGET,2024-02-12,443.27,10.0,-265.96,TRAILING_REDUCED_PROFIT
V31-0024,MRVL,2024-02-02,CLOSED,TRAILING_WIN,2024-02-07,39,67.53,26.34,1.0,CLOSED,TARGET,2024-02-08,158.02,6.0,-131.68,TRAILING_REDUCED_PROFIT
V31-0025,NVDA,2024-02-05,CLOSED,TRAILING_WIN,2024-02-07,49,69.332,33.97,1.0,CLOSED,TARGET,2024-02-22,339.73,10.0,-305.76,TRAILING_REDUCED_PROFIT
V31-0026,NVDA,2024-02-07,CLOSED,TRAILING_WIN,2024-02-09,64,70.099,44.86,1.0,CLOSED,TARGET,2024-02-22,448.63,10.0,-403.77,TRAILING_REDUCED_PROFIT
V31-0027,NVDA,2024-02-09,CLOSED,TRAILING_WIN,2024-02-12,63,72.133,45.44,1.0,CLOSED,TARGET,2024-02-23,454.44,10.0,-409.0,TRAILING_REDUCED_PROFIT
V31-0028,NVDA,2024-02-12,CLOSED,TRAILING_WIN,2024-02-13,63,72.248,45.52,1.0,CLOSED,TARGET,2024-02-23,455.16,10.0,-409.64,TRAILING_REDUCED_PROFIT
V31-0029,NVDA,2024-02-22,CLOSED,TRAILING_WIN,2024-02-23,58,78.538,182.21,4.0,CLOSED,TARGET,2024-03-04,455.52,10.0,-273.31,TRAILING_REDUCED_PROFIT
V31-0030,AVGO,2024-02-22,CLOSED,TRAILING_WIN,2024-02-23,21,130.49,27.4,1.0,CLOSED,TARGET,2024-03-01,137.01,5.0,-109.61,TRAILING_REDUCED_PROFIT
V31-0031,ANET,2024-02-22,CLOSED,TRAILING_WIN,2024-02-23,24,67.19,16.13,1.0,CLOSED,TARGET,2024-03-20,161.26,10.0,-145.13,TRAILING_REDUCED_PROFIT
V31-0032,NVDA,2024-02-23,CLOSED,TRAILING_WIN,2024-02-26,59,78.817,93.0,2.0,CLOSED,TARGET,2024-03-04,465.02,10.0,-372.02,TRAILING_REDUCED_PROFIT
V31-0033,SHOP,2024-02-23,CLOSED,TRAILING_WIN,2024-02-26,37,76.24,28.21,1.0,CLOSED,INITIAL_STOP,2024-03-05,-88.43,-3.13,116.64,TRAILING_TURNED_LOSS_TO_WIN
V31-0034,SHOP,2024-02-23,CLOSED,TRAILING_WIN,2024-02-26,22,76.24,16.77,1.0,CLOSED,INITIAL_STOP,2024-03-05,-52.58,-3.13,69.35,TRAILING_TURNED_LOSS_TO_WIN
V31-0035,PANW,2024-02-27,CLOSED,TRAILING_WIN,2024-02-29,30,157.375,47.21,1.0,CLOSED,TIMEOUT,2024-03-05,-354.3,-7.5,401.51,TRAILING_TURNED_LOSS_TO_WIN
V31-0036,PANW,2024-02-27,CLOSED,TRAILING_WIN,2024-02-29,18,157.375,28.33,1.0,CLOSED,TIMEOUT,2024-03-12,-270.18,-9.54,298.51,TRAILING_TURNED_LOSS_TO_WIN
V31-0037,AMD,2024-02-29,CLOSED,TRAILING_WIN,2024-03-01,24,192.53,184.83,4.0,CLOSED,TARGET,2024-03-01,231.04,5.0,-46.21,TRAILING_REDUCED_PROFIT
