date,value,cash,open_trades
2024-01-02,10000.0,10000.0,0
2024-01-03,10000.0,10000.0,0
2024-01-04,10000.0,10000.0,0
2024-01-05,10000.0,10000.0,0
2024-01-08,10000.0,6028.77,1
2024-01-09,10039.71,3672.73,2
2024-01-10,10075.34,4654.49,2
2024-01-11,10133.82,6131.81,1
2024-01-12,10125.64,6131.81,1
2024-01-16,10213.85,3773.25,2
2024-01-17,10213.98,3775.61,2
2024-01-18,10414.95,3863.2,2
2024-01-19,10504.87,3901.28,2
2024-01-22,10461.81,4885.97,2
2024-01-23,10476.99,4885.97,2
2024-01-24,10603.11,3873.07,2
2024-01-25,10762.66,10762.66,0
2024-01-26,10762.66,10762.66,0
2024-01-29,10762.66,10762.66,0
2024-01-30,10762.66,10762.66,0
2024-01-31,10762.66,10762.66,0
2024-02-01,10762.66,10762.66,0
2024-02-02,10762.66,6462.26,1
2024-02-05,10934.68,6566.76,1
2024-02-06,10864.81,6566.76,1
2024-02-07,10978.35,6632.21,1
2024-02-08,10949.95,6632.21,1
2024-02-09,11021.81,6621.7,1
2024-02-12,11065.81,6658.68,1
2024-02-13,11109.88,11109.88,0
2024-02-14,11109.88,11109.88,0
2024-02-15,11109.88,11109.88,0
2024-02-16,11109.88,11109.88,0
2024-02-20,11109.88,11109.88,0
2024-02-21,11109.88,11109.88,0
2024-02-22,11109.88,2489.39,3
2024-02-23,11328.03,6835.46,1
2024-02-26,11417.88,11417.88,0
2024-02-27,11417.88,11417.88,0
2024-02-28,11417.88,11417.88,0
2024-02-29,11417.88,6989.69,1
2024-03-01,11595.01,4342.97,2
2024-03-04,11801.27,2697.86,3
2024-03-05,11831.53,7432.78,2
2024-03-06,11963.16,1764.94,4
2024-03-07,12140.63,4428.78,2
2024-03-08,12069.48,12069.48,0
2024-03-11,12069.48,12069.48,0
2024-03-12,12069.48,7315.33,1
2024-03-13,11948.88,7315.33,1
2024-03-14,11943.73,4412.11,2
2024-03-15,11832.29,4406.43,2
2024-03-18,11965.75,7339.35,1
2024-03-19,11994.6,7339.35,1
2024-03-20,12084.75,2696.21,3
2024-03-21,12469.4,12469.4,0
2024-03-22,12469.4,12469.4,0
2024-03-25,12469.4,12469.4,0
2024-03-26,12469.4,12469.4,0
2024-03-27,12469.4,12469.4,0
2024-03-28,12469.4,12469.4,0
2024-04-01,12469.4,12469.4,0
2024-04-02,12469.4,12469.4,0
2024-04-03,12469.4,12469.4,0
2024-04-04,12469.4,12469.4,0
2024-04-05,12469.4,7529.64,1
2024-04-08,12462.67,7529.64,1
2024-04-09,12518.8,4703.15,2
2024-04-10,12596.94,12596.94,0
2024-04-11,12596.94,12596.94,0
2024-04-12,12596.94,12596.94,0
2024-04-15,12596.94,12596.94,0
2024-04-16,12596.94,2795.5,3
2024-04-17,12620.07,12620.07,0
2024-04-18,12620.07,4626.42,2
2024-04-19,12859.88,12859.88,0
2024-04-22,12859.88,1726.51,4
2024-04-23,13081.37,13081.37,0
2024-04-24,13081.37,4807.48,2
2024-04-25,13164.11,7958.29,1
2024-04-26,13268.22,13268.22,0
2024-04-29,13268.22,13268.22,0
2024-04-30,13268.22,13268.22,0
2024-05-01,13268.22,13268.22,0
2024-05-02,13268.22,4832.07,2
2024-05-03,13658.69,13658.69,0
2024-05-06,13658.69,13658.69,0
2024-05-07,13658.69,13658.69,0
2024-05-08,13658.69,8262.79,1
2024-05-09,13712.65,13712.65,0
2024-05-10,13712.65,8235.05,1
2024-05-13,13876.98,13876.98,0
2024-05-14,13876.98,13876.98,0
2024-05-15,13876.98,13876.98,0
2024-05-16,13876.98,5059.3,2
2024-05-17,14075.74,14075.74,0
2024-05-20,14075.74,14075.74,0
2024-05-21,14075.74,14075.74,0
2024-05-22,14075.74,14075.74,0
2024-05-23,14075.74,5094.69,2
2024-05-24,14165.55,8522.69,1
2024-05-28,14447.69,5306.12,2
2024-05-29,14392.44,11058.12,1
2024-05-30,14439.52,11058.12,1
2024-05-31,14303.37,14303.37,0
2024-06-03,14303.37,14303.37,0
2024-06-04,14303.37,8597.96,1
2024-06-05,14417.48,1974.37,4
2024-06-06,14453.59,7844.14,3
2024-06-07,14465.61,7844.14,3
2024-06-10,14601.35,13350.89,1
2024-06-11,14619.85,8829.22,1
2024-06-12,14677.75,8840.31,1
2024-06-13,14969.62,9007.56,1
2024-06-14,15029.24,9094.64,1
2024-06-17,15088.59,15088.59,0
2024-06-18,15088.59,9123.07,1
2024-06-20,15267.56,15267.56,0
2024-06-21,15267.56,15267.56,0
2024-06-24,15267.56,15267.56,0
2024-06-25,15267.56,5542.96,2
2024-06-26,15329.16,11710.85,1
2024-06-27,15364.81,15364.81,0
2024-06-28,15364.81,15364.81,0
2024-07-01,15364.81,5711.25,2
2024-07-02,15786.63,3475.45,3
2024-07-03,16030.0,5928.01,2
2024-07-05,16232.04,3835.26,3
2024-07-08,16483.22,3979.82,3
2024-07-09,16486.68,3815.16,3
2024-07-10,16671.21,10048.65,1
2024-07-11,16737.44,16737.44,0
2024-07-12,16737.44,10114.34,1
2024-07-15,16738.34,10114.34,1
2024-07-16,16803.67,16803.67,0
2024-07-17,16803.67,16803.67,0
2024-07-18,16803.67,16803.67,0
2024-07-19,16803.67,6215.19,2
2024-07-22,17015.44,3760.61,3
2024-07-23,17036.71,13101.98,1
2024-07-24,16855.53,16855.53,0
2024-07-25,16855.53,16855.53,0
2024-07-26,16855.53,10183.81,1
2024-07-29,16988.96,16988.96,0
2024-07-30,16988.96,16988.96,0
2024-07-31,16988.96,2324.71,4
2024-08-01,16190.69,6340.35,2
2024-08-02,15999.46,15999.46,0
2024-08-05,15999.46,9605.22,1
2024-08-06,16063.4,16063.4,0
2024-08-07,16063.4,5872.37,2
2024-08-08,16267.23,9784.27,1
2024-08-09,16203.63,5908.52,2
2024-08-12,16314.6,9900.54,1
2024-08-13,16448.33,9870.72,1
2024-08-14,16579.89,16579.89,0
2024-08-15,16579.89,16579.89,0
2024-08-16,16579.89,16579.89,0
2024-08-19,16579.89,16579.89,0
2024-08-20,16579.89,16579.89,0
2024-08-21,16579.89,16579.89,0
2024-08-22,16579.89,16579.89,0
2024-08-23,16579.89,6019.41,2
2024-08-26,16135.95,6019.41,2
2024-08-27,16266.78,6019.41,2
2024-08-28,16080.09,6019.41,2
2024-08-29,16285.89,6019.41,2
2024-08-30,17081.33,6288.75,2
2024-09-03,16441.64,12660.56,1
2024-09-04,16384.24,16384.24,0
2024-09-05,16384.24,9965.8,1
2024-09-06,16230.1,16230.1,0
2024-09-09,16230.1,5955.81,2
2024-09-10,16332.84,5958.14,2
2024-09-11,16436.58,16436.58,0
2024-09-12,16436.58,16436.58,0
2024-09-13,16436.58,16436.58,0
2024-09-16,16436.58,16436.58,0
