id,ticker,strategy_source,strategy_id,behavior,entry_rule,timeframe,selected_version,status,outcome,entry_date,entry_price,shares,capital,avg_dollar_volume,liquidity_cap,technical_initial_stop_price,initial_stop_price,stop_price,highest_price,exit_price,hold_days,held_sessions,latest_price,market_value,unrealized_pnl,unrealized_pnl_pct,realized_pnl,realized_pnl_pct,close_date,close_time_et,close_price,close_reason
E5M-0001,NVDA,V2,NVDA_monthly_breakout_100,v1_success_monthly,v1_breakout,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-01-08,52.253,76,3971.23,18559552584.95,185595525.85,48.3704,48.3704,52.7755,52.897,57.4783,21,1,52.253,0.0,0.0,-0.0,39.71,1.0,2024-01-09,11:20:00,52.7755,5m trailing/technical stop
E5M-0002,NVDA,V2,NVDA_monthly_breakout_100,v1_success_monthly,v1_breakout,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-01-09,53.14,75,3985.5,19760414484.84,197604144.85,49.0234,49.0234,53.6714,54.186,58.454,21,1,53.14,0.0,0.0,-0.0,39.86,1.0,2024-01-10,09:30:00,53.6714,5m trailing/technical stop
E5M-0003,AVGO,V2,AVGO_swing_rsi_7_30,v1_success_swing,v1_rsi_recovery,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-01-09,108.249,22,2381.48,4727232300.77,47272323.01,104.151,104.151,109.3315,109.6942,113.6615,10,2,108.057,0.0,0.0,-0.18,23.81,1.0,2024-01-11,09:30:00,109.3315,5m trailing/technical stop
E5M-0004,NVDA,V2,NVDA_monthly_breakout_100,v1_success_monthly,v1_breakout,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-01-10,54.35,56,3043.6,20022650729.31,200226507.29,50.1738,50.1738,54.8935,55.346,59.785,21,1,54.35,0.0,0.0,-0.0,30.44,1.0,2024-01-11,09:30:00,54.8935,5m trailing/technical stop
E5M-0005,NVDA,V2,NVDA_monthly_breakout_100,v1_success_monthly,v1_breakout,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-01-11,54.822,73,4002.01,20771084391.53,207710843.92,50.6704,50.6704,55.3702,55.598,60.3042,21,2,54.71,0.0,0.0,-0.2,40.01,1.0,2024-01-16,09:30:00,55.3702,5m trailing/technical stop
E5M-0006,NVDA,V2,NVDA_monthly_breakout_100,v1_success_monthly,v1_breakout,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-01-16,56.382,72,4059.5,20981635996.72,209816359.97,52.0451,52.0451,56.9458,57.34,62.0202,21,2,56.053,0.0,0.0,-0.58,40.6,1.0,2024-01-18,09:30:00,56.9458,5m trailing/technical stop
E5M-0007,AMD,V2,AMD_swing_breakout_20,v1_success_swing,v1_breakout,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-01-16,158.74,15,2381.1,8742223691.69,87422236.92,147.2643,147.2643,160.3274,160.64,166.677,10,1,158.74,0.0,0.0,0.0,23.81,1.0,2024-01-17,14:40:00,160.3274,5m trailing/technical stop
E5M-0008,AMD,V2,AMD_swing_breakout_20,v1_success_swing,v1_breakout,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-01-17,160.17,15,2402.55,9087289827.59,90872898.28,148.41,148.41,166.5768,166.7499,168.1785,10,1,160.17,0.0,0.0,-0.0,96.1,4.0,2024-01-18,09:30:00,166.5768,5m trailing/technical stop
E5M-0009,NVDA,V2,NVDA_monthly_breakout_100,v1_success_monthly,v1_breakout,monthly,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-01-18,57.107,72,4111.7,21508740338.98,215087403.39,52.3601,52.3601,57.6781,58.0,62.8177,21,1,57.107,0.0,0.0,-0.0,41.12,1.0,2024-01-19,09:30:00,57.6781,5m trailing/technical stop
E5M-0010,AMD,V2,AMD_swing_breakout_20,v1_success_swing,v1_breakout,swing,v31_from_v2:v2_from_v1_success,CLOSED,TRAILING_WIN,2024-01-18,162.67,15,2440.05,9845902465.96,98459024.66,149.8657,149.8657,165.9234,166.3199,170.8035,10,1,162.67,0.0,0.0,-0.0,48.8,2.0,2024-01-19,09:30:00,165.9234,5m trailing/technical stop
