period,start_date,end_date,key,label,portfolio_value,pnl,period_return_pct,annual_return_pct,max_drawdown_pct,trades,closed,open,wins,losses,win_rate,avg_win_pct,avg_loss_pct
2021 - اختيار,2021-01-01,2021-12-31,next_high_0_5,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 0.5 بالمئة,20432.67,10432.67,104.33,104.83,-7.54,160,160,0,145,15,90.62,2.66,-4.59
2021 - اختيار,2021-01-01,2021-12-31,next_high_1_0,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 1 بالمئة,19235.45,9235.45,92.35,92.79,-7.65,157,157,0,138,19,87.9,2.8,-5.31
2021 - اختيار,2021-01-01,2021-12-31,next_high_1_5,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 1.5 بالمئة,16835.35,6835.35,68.35,68.65,-7.94,148,148,0,123,25,83.11,3.15,-5.37
2021 - اختيار,2021-01-01,2021-12-31,next_high_1_8,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 1.8 بالمئة,15247.47,5247.47,52.47,52.7,-8.49,145,145,0,115,30,79.31,3.45,-5.52
2021 - اختيار,2021-01-01,2021-12-31,next_high_2_0,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 2 بالمئة,15489.45,5489.45,54.89,55.13,-8.12,144,144,0,114,30,79.17,3.53,-5.61
2021 - اختيار,2021-01-01,2021-12-31,next_high_3_0,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 3 بالمئة,15000.19,5000.19,50.0,50.21,-9.16,143,143,0,106,37,74.13,3.92,-5.44
2021 - اختيار,2021-01-01,2021-12-31,next_high_4_0,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 4 بالمئة,13990.56,3990.56,39.91,40.07,-11.94,139,138,1,91,47,65.94,4.68,-5.38
2021 - اختيار,2021-01-01,2021-12-31,next_high_5_0,أعلى اليوم ثم تفعيل الجلسة التالية: درجة 5 بالمئة,12590.91,2590.91,25.91,26.01,-14.75,138,137,1,84,53,61.31,4.96,-5.36
2021-2026 وصفي,2021-01-01,2026-05-22,current,الحالي: رفع داخل الجلسة بدرجة 1 بالمئة,91479.37,81479.37,814.79,50.84,-20.22,871,870,1,769,101,88.39,1.87,-6.12
2021-2026 وصفي,2021-01-01,2026-05-22,intraday_1_8,المقارنة السابقة: رفع داخل الجلسة بدرجة 1.8 بالمئة,94659.1,84659.1,846.59,51.8,-22.11,839,838,1,700,138,83.53,2.46,-6.1
