period,month,current_change,candidate_change,delta_change
2025,2025-01,665.74,1005.3,339.56
2025,2025-02,-425.36,53.94,479.3
2025,2025-03,414.21,466.51,52.3
2025,2025-04,174.01,612.75,438.74
2025,2025-05,331.58,263.45,-68.13
2025,2025-06,179.39,932.06,752.67
2025,2025-07,466.47,387.21,-79.26
2025,2025-08,-38.12,497.09,535.21
2025,2025-09,1475.96,2371.85,895.89
2025,2025-10,1732.5,2479.87,747.37
2025,2025-11,915.55,1769.58,854.03
2025,2025-12,7.26,619.26,612.0
2026,2026-01,-5.89,113.49,119.38
2026,2026-02,959.19,1436.7,477.51
2026,2026-03,339.94,910.14,570.2
2026,2026-04,2070.09,2560.81,490.72
2026,2026-05,737.55,2350.16,1612.61
