date,value
2024-01-02,10000.0
2024-01-03,10000.0
2024-01-04,10000.0
2024-01-05,10000.0
2024-01-08,10000.0
2024-01-09,10119.14
2024-01-10,10195.68
2024-01-11,10254.7
2024-01-12,10259.2
2024-01-16,10415.23
2024-01-17,10415.02
2024-01-18,10641.48
2024-01-19,11044.07
2024-01-22,11028.63
2024-01-23,11044.71
2024-01-24,11367.79
2024-01-25,11538.83
2024-01-26,11538.83
2024-01-29,11538.83
2024-01-30,11538.83
2024-01-31,11538.83
2024-02-01,11538.83
2024-02-02,11538.83
2024-02-05,11767.08
2024-02-06,11692.78
2024-02-07,11813.54
2024-02-08,11782.86
2024-02-09,11907.48
2024-02-12,12050.3
2024-02-13,12097.98
2024-02-14,12097.98
2024-02-15,12097.98
2024-02-16,12097.98
2024-02-20,12097.98
2024-02-21,12097.98
2024-02-22,12097.98
2024-02-23,12335.79
2024-02-26,12759.34
2024-02-27,12759.34
2024-02-28,12759.34
2024-02-29,12759.34
2024-03-01,13009.63
2024-03-04,13305.4
2024-03-05,13339.92
2024-03-06,13571.66
2024-03-07,13950.83
2024-03-08,13857.7
2024-03-11,13772.02
2024-03-12,13872.1
2024-03-13,14077.04
2024-03-14,14077.04
2024-03-15,14012.97
2024-03-18,14012.97
2024-03-19,14012.97
2024-03-20,14012.97
2024-03-21,14727.74
2024-03-22,14785.27
2024-03-25,14785.27
2024-03-26,14785.27
2024-03-27,14785.27
2024-03-28,14785.27
2024-04-01,14785.27
2024-04-02,14785.27
2024-04-03,14785.27
2024-04-04,14902.67
2024-04-05,14961.01
2024-04-08,14952.96
2024-04-09,15020.09
2024-04-10,15020.09
2024-04-11,15020.09
2024-04-12,14858.8
2024-04-15,14779.26
2024-04-16,14779.26
2024-04-17,14750.03
2024-04-18,14750.03
2024-04-19,14750.03
2024-04-22,14750.03
2024-04-23,14985.4
2024-04-24,14845.4
2024-04-25,14957.63
2024-04-26,15243.14
2024-04-29,15349.24
2024-04-30,15025.8
2024-05-01,14829.32
2024-05-02,14829.32
2024-05-03,15182.83
2024-05-06,15182.83
2024-05-07,15182.83
2024-05-08,15182.83
2024-05-09,15243.36
2024-05-10,15243.36
2024-05-13,15243.36
2024-05-14,15243.36
2024-05-15,15243.36
2024-05-16,15243.36
2024-05-17,15484.04
2024-05-20,15484.04
2024-05-21,15484.04
2024-05-22,15484.04
2024-05-23,15484.04
2024-05-24,15606.52
2024-05-28,16038.78
2024-05-29,16102.56
2024-05-30,16102.56
2024-05-31,16166.95
2024-06-03,16166.95
2024-06-04,16166.95
2024-06-05,16487.16
2024-06-06,16560.99
2024-06-07,16577.29
2024-06-10,16766.05
2024-06-11,16766.05
2024-06-12,16900.14
2024-06-13,17301.76
2024-06-14,17439.15
2024-06-17,17507.73
2024-06-18,17507.73
2024-06-20,17715.17
2024-06-21,17715.17
2024-06-24,17715.17
2024-06-25,17715.17
2024-06-26,17715.17
2024-06-27,17715.17
2024-06-28,17715.17
2024-07-01,17715.17
2024-07-02,18450.13
2024-07-03,19130.96
2024-07-05,19283.72
2024-07-08,19695.74
2024-07-09,20046.46
2024-07-10,20394.31
2024-07-11,20475.25
2024-07-12,20475.25
2024-07-15,20475.25
2024-07-16,20475.25
2024-07-17,20475.25
2024-07-18,20475.25
2024-07-19,20475.25
2024-07-22,20475.25
2024-07-23,20636.31
2024-07-24,20636.31
2024-07-25,20636.31
2024-07-26,20636.31
2024-07-29,20800.07
2024-07-30,20800.07
2024-07-31,20800.07
2024-08-01,19933.56
2024-08-02,19698.99
2024-08-05,19698.99
2024-08-06,19698.99
2024-08-07,20013.0
2024-08-08,20572.04
2024-08-09,20735.06
2024-08-12,21231.57
2024-08-13,21484.57
2024-08-14,21655.94
2024-08-15,21655.94
2024-08-16,21655.94
2024-08-19,21655.94
2024-08-20,21655.94
2024-08-21,21655.94
2024-08-22,21655.94
2024-08-23,21655.94
2024-08-26,21655.94
2024-08-27,21655.94
2024-08-28,21655.94
2024-08-29,21655.94
2024-08-30,21655.94
2024-09-03,21263.21
2024-09-04,21263.21
2024-09-05,21263.21
2024-09-06,21061.36
2024-09-09,21061.36
2024-09-10,21144.98
2024-09-11,22089.08
2024-09-12,22063.25
2024-09-13,22265.02
2024-09-16,22135.65
2024-09-17,22222.7
2024-09-18,22353.54
2024-09-19,22353.54
2024-09-20,22353.54
2024-09-23,22441.97
2024-09-24,22441.97
2024-09-25,22441.97
2024-09-26,22798.41
2024-09-27,22628.85
2024-09-30,22614.27
2024-10-01,22380.45
2024-10-02,22382.07
2024-10-03,22602.65
2024-10-04,23034.1
2024-10-07,23037.81
2024-10-08,23124.68
2024-10-09,23030.34
2024-10-10,22614.22
2024-10-11,22919.97
2024-10-14,22781.11
2024-10-15,22590.84
2024-10-16,22860.04
2024-10-17,22860.04
2024-10-18,22860.04
2024-10-21,22860.04
2024-10-22,22852.48
2024-10-23,22598.59
2024-10-24,22652.14
2024-10-25,22986.61
2024-10-28,22976.19
2024-10-29,23022.18
2024-10-30,22738.45
2024-10-31,21964.22
2024-11-01,22388.84
2024-11-04,22429.79
2024-11-05,22672.97
2024-11-06,23213.19
2024-11-07,23661.72
2024-11-08,24180.92
2024-11-11,24667.63
2024-11-12,24492.85
2024-11-13,24395.34
2024-11-14,24044.28
2024-11-15,23704.47
2024-11-18,23589.18
2024-11-19,24021.36
2024-11-20,23950.8
2024-11-21,24326.76
2024-11-22,24363.0
2024-11-25,24482.06
2024-11-26,24482.06
2024-11-27,24237.8
2024-11-29,24237.8
2024-12-02,24524.68
2024-12-03,24622.51
2024-12-04,25012.62
2024-12-05,24611.1
2024-12-06,24918.45
2024-12-09,24607.66
2024-12-10,24890.09
2024-12-11,25283.21
2024-12-12,25149.53
2024-12-13,26215.03
2024-12-16,27118.02
2024-12-17,26892.44
2024-12-18,26577.82
2024-12-19,26577.82
2024-12-20,26577.82
2024-12-23,26893.02
2024-12-24,26897.37
2024-12-26,27000.03
2024-12-27,27000.03
2024-12-30,27000.03
2024-12-31,27000.03
2025-01-02,27215.28
2025-01-03,27215.28
2025-01-06,27647.91
2025-01-07,27647.91
2025-01-08,27647.91
2025-01-10,27647.91
2025-01-13,27232.5
2025-01-14,27448.78
2025-01-15,27448.78
2025-01-16,27448.78
2025-01-17,27448.78
2025-01-21,27448.78
2025-01-22,27665.32
2025-01-23,27665.32
2025-01-24,27665.32
2025-01-27,27665.32
2025-01-28,27665.32
2025-01-29,27775.22
2025-01-30,28663.82
2025-01-31,29509.8
2025-02-03,29509.8
2025-02-04,29509.8
2025-02-05,29509.8
2025-02-06,29509.8
2025-02-07,29509.8
2025-02-10,29509.8
2025-02-11,29509.8
2025-02-12,29509.8
2025-02-13,29509.8
2025-02-14,29509.8
2025-02-18,29509.8
2025-02-19,28752.96
2025-02-20,28697.84
2025-02-21,28157.24
2025-02-24,28091.52
2025-02-25,28091.52
2025-02-26,28091.52
2025-02-27,28203.32
2025-02-28,28203.32
2025-03-03,28426.68
2025-03-04,28426.68
2025-03-05,28426.68
