cash,date,open_trades,value
30000.0,2021-01-04,0,30000.0
30000.0,2021-01-05,0,30000.0
30000.0,2021-01-06,0,30000.0
30000.0,2021-01-07,0,30000.0
30000.0,2021-01-08,0,30000.0
30000.0,2021-01-11,0,30000.0
30000.0,2021-01-12,0,30000.0
30000.0,2021-01-13,0,30000.0
18047.1,2021-01-14,1,30000.0
18047.1,2021-01-15,1,29876.51
18319.93,2021-01-19,1,30478.12
18319.93,2021-01-20,1,30535.23
30903.66,2021-01-21,0,30903.66
30903.66,2021-01-22,0,30903.66
30903.66,2021-01-25,0,30903.66
30903.66,2021-01-26,0,30903.66
30903.66,2021-01-27,0,30903.66
30903.66,2021-01-28,0,30903.66
30903.66,2021-01-29,0,30903.66
30903.66,2021-02-01,0,30903.66
18569.59,2021-02-02,1,30903.66
18569.59,2021-02-03,1,30623.08
18662.2,2021-02-04,1,31027.01
18662.2,2021-02-05,1,30794.49
11257.78,2021-02-08,2,31150.65
11257.78,2021-02-09,2,30993.29
14323.94,2021-02-10,2,31191.87
14323.94,2021-02-11,2,31744.31
31697.68,2021-02-12,0,31697.68
19019.56,2021-02-16,1,31697.68
19019.56,2021-02-17,1,31358.4
11450.56,2021-02-18,2,31283.14
6883.63,2021-02-19,3,31578.28
19098.15,2021-02-22,1,30970.36
30635.21,2021-02-23,0,30635.21
18416.25,2021-02-24,1,30635.21
29995.37,2021-02-25,0,29995.37
2369.93,2021-02-26,5,29995.37
5969.11,2021-03-01,5,30946.53
27081.52,2021-03-02,1,30808.36
27081.52,2021-03-03,1,30664.52
30591.55,2021-03-04,0,30591.55
11028.8,2021-03-05,2,30591.55
11028.8,2021-03-08,2,29329.39
4175.24,2021-03-09,4,30934.16
4175.24,2021-03-10,4,29927.57
4165.42,2021-03-11,4,31477.75
2505.24,2021-03-12,5,31248.76
2505.24,2021-03-15,5,32117.31
14774.77,2021-03-16,2,32339.25
22663.48,2021-03-17,1,32617.66
32709.71,2021-03-18,0,32709.71
32709.71,2021-03-19,0,32709.71
32709.71,2021-03-22,0,32709.71
19641.26,2021-03-23,1,32709.71
19641.26,2021-03-24,1,32637.07
32840.42,2021-03-25,0,32840.42
11855.79,2021-03-26,2,32840.42
11855.79,2021-03-29,2,32342.01
11971.75,2021-03-30,2,32945.35
33941.6,2021-03-31,0,33941.6
33941.6,2021-04-01,0,33941.6
33941.6,2021-04-05,0,33941.6
33941.6,2021-04-06,0,33941.6
33941.6,2021-04-07,0,33941.6
33941.6,2021-04-08,0,33941.6
33941.6,2021-04-09,0,33941.6
