cash,date,open_trades,value
10000.0,2024-01-02,0,10000.0
10000.0,2024-01-03,0,10000.0
10000.0,2024-01-04,0,10000.0
10000.0,2024-01-05,0,10000.0
6028.77,2024-01-08,1,10000.0
6080.5,2024-01-09,1,10119.14
6123.66,2024-01-10,1,10199.91
4141.87,2024-01-11,2,10240.67
6204.26,2024-01-12,1,10252.8
3885.81,2024-01-16,2,10382.8
3888.17,2024-01-17,2,10382.59
2647.09,2024-01-18,3,10609.05
2693.92,2024-01-19,3,11000.73
5117.1,2024-01-22,2,10980.42
5117.1,2024-01-23,2,10996.29
4162.83,2024-01-24,2,11316.61
11486.42,2024-01-25,0,11486.42
11486.42,2024-01-26,0,11486.42
11486.42,2024-01-29,0,11486.42
11486.42,2024-01-30,0,11486.42
11486.42,2024-01-31,0,11486.42
11486.42,2024-02-01,0,11486.42
6921.38,2024-02-02,1,11486.42
7069.43,2024-02-05,1,11714.67
7069.43,2024-02-06,1,11640.37
7064.5,2024-02-07,1,11761.13
7064.5,2024-02-08,1,11730.45
7166.42,2024-02-09,1,11855.07
7227.35,2024-02-12,1,11995.72
12043.4,2024-02-13,0,12043.4
12043.4,2024-02-14,0,12043.4
12043.4,2024-02-15,0,12043.4
12043.4,2024-02-16,0,12043.4
12043.4,2024-02-20,0,12043.4
12043.4,2024-02-21,0,12043.4
2903.62,2024-02-22,3,12043.4
4570.97,2024-02-23,2,12278.52
12686.55,2024-02-26,0,12686.55
12686.55,2024-02-27,0,12686.55
12686.55,2024-02-28,0,12686.55
7680.77,2024-02-29,1,12686.55
5232.1,2024-03-01,2,12936.84
3266.55,2024-03-04,3,13218.64
5224.47,2024-03-05,3,13255.64
5387.54,2024-03-06,2,13476.12
5551.89,2024-03-07,2,13827.33
8303.15,2024-03-08,1,13786.67
8303.15,2024-03-11,1,13700.99
8303.15,2024-03-12,1,13801.07
14006.01,2024-03-13,0,14006.01
8452.02,2024-03-14,1,14006.01
13941.94,2024-03-15,0,13941.94
13941.94,2024-03-18,0,13941.94
13941.94,2024-03-19,0,13941.94
5133.36,2024-03-20,2,13941.94
8904.11,2024-03-21,1,14656.71
14714.24,2024-03-22,0,14714.24
14714.24,2024-03-25,0,14714.24
14714.24,2024-03-26,0,14714.24
14714.24,2024-03-27,0,14714.24
14714.24,2024-03-28,0,14714.24
14714.24,2024-04-01,0,14714.24
14714.24,2024-04-02,0,14714.24
8844.02,2024-04-03,1,14714.24
8997.24,2024-04-04,1,14831.64
8981.64,2024-04-05,1,14889.98
8981.64,2024-04-08,1,14881.93
14949.06,2024-04-09,0,14949.06
14949.06,2024-04-10,0,14949.06
9048.18,2024-04-11,1,14949.06
9048.18,2024-04-12,1,14790.42
14712.18,2024-04-15,0,14712.18
14712.18,2024-04-16,0,14712.18
14712.18,2024-04-17,0,14712.18
14712.18,2024-04-18,0,14712.18
14712.18,2024-04-19,0,14712.18
14712.18,2024-04-22,0,14712.18
14712.18,2024-04-23,0,14712.18
14712.18,2024-04-24,0,14712.18
14712.18,2024-04-25,0,14712.18
14712.18,2024-04-26,0,14712.18
14712.18,2024-04-29,0,14712.18
14712.18,2024-04-30,0,14712.18
14712.18,2024-05-01,0,14712.18
14712.18,2024-05-02,0,14712.18
14712.18,2024-05-03,0,14712.18
14712.18,2024-05-06,0,14712.18
14712.18,2024-05-07,0,14712.18
9753.79,2024-05-08,1,14712.18
14761.77,2024-05-09,0,14761.77
14761.77,2024-05-10,0,14761.77
14761.77,2024-05-13,0,14761.77
14761.77,2024-05-14,0,14761.77
14761.77,2024-05-15,0,14761.77
8907.45,2024-05-16,1,14761.77
14995.94,2024-05-17,0,14995.94
14995.94,2024-05-20,0,14995.94
14995.94,2024-05-21,0,14995.94
14995.94,2024-05-22,0,14995.94
9079.4,2024-05-23,1,14995.94
9152.01,2024-05-24,1,15114.27
9380.98,2024-05-28,1,15531.63
15593.14,2024-05-29,0,15593.14
15593.14,2024-05-30,0,15593.14
15593.14,2024-05-31,0,15593.14
15593.14,2024-06-03,0,15593.14
9421.98,2024-06-04,1,15593.14
3509.79,2024-06-05,3,15901.7
9879.12,2024-06-06,2,15971.81
9879.12,2024-06-07,2,15987.58
16172.86,2024-06-10,0,16172.86
9772.69,2024-06-11,1,16172.86
10774.75,2024-06-12,1,16300.86
10022.31,2024-06-13,1,16632.42
10170.62,2024-06-14,1,16764.62
16830.56,2024-06-17,0,16830.56
10187.14,2024-06-18,1,16830.56
17029.86,2024-06-20,0,17029.86
17029.86,2024-06-21,0,17029.86
17029.86,2024-06-24,0,17029.86
17029.86,2024-06-25,0,17029.86
17029.86,2024-06-26,0,17029.86
17029.86,2024-06-27,0,17029.86
17029.86,2024-06-28,0,17029.86
6283.95,2024-07-01,2,17029.86
6494.47,2024-07-02,2,17741.72
11254.44,2024-07-03,1,18399.75
6779.18,2024-07-05,2,18542.66
7137.75,2024-07-08,2,18940.26
9068.51,2024-07-09,2,19267.27
11874.82,2024-07-10,1,19601.14
19678.4,2024-07-11,0,19678.4
19678.4,2024-07-12,0,19678.4
19678.4,2024-07-15,0,19678.4
19678.4,2024-07-16,0,19678.4
19678.4,2024-07-17,0,19678.4
19678.4,2024-07-18,0,19678.4
19678.4,2024-07-19,0,19678.4
11947.52,2024-07-22,1,19678.4
19833.02,2024-07-23,0,19833.02
19833.02,2024-07-24,0,19833.02
19833.02,2024-07-25,0,19833.02
19833.02,2024-07-26,0,19833.02
19833.02,2024-07-29,0,19833.02
19833.02,2024-07-30,0,19833.02
19833.02,2024-07-31,0,19833.02
19833.02,2024-08-01,0,19833.02
19833.02,2024-08-02,0,19833.02
19833.02,2024-08-05,0,19833.02
19833.02,2024-08-06,0,19833.02
19833.02,2024-08-07,0,19833.02
19833.02,2024-08-08,0,19833.02
19833.02,2024-08-09,0,19833.02
19833.02,2024-08-12,0,19833.02
19833.02,2024-08-13,0,19833.02
19833.02,2024-08-14,0,19833.02
19833.02,2024-08-15,0,19833.02
19833.02,2024-08-16,0,19833.02
19833.02,2024-08-19,0,19833.02
19833.02,2024-08-20,0,19833.02
19833.02,2024-08-21,0,19833.02
19833.02,2024-08-22,0,19833.02
19833.02,2024-08-23,0,19833.02
