action,amount,cash_after,date,entry_rule,note,outcome,pnl,pnl_pct,portfolio_value_after,price,shares,source,ticker,timeframe,trade_id
START,,30000.0,2021-01-04,,بداية المحاكاة,,0.0,0.0,30000.0,,,,PORTFOLIO,,
ENTRY,11952.9,18047.1,2021-01-14,raw_breakout,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,30000.0,51.3,233,V3,MRVL,swing,V31-0001
EXIT,12431.02,30478.12,2021-01-19,raw_breakout,تحقق الهدف - تنفيذ خمس دقائق,WIN,478.12,4.0,30478.12,53.352,233,V3,MRVL,swing,V31-0001
ENTRY,12158.19,18319.93,2021-01-19,raw_breakout,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,30478.12,53.7973,226,V3,MRVL,swing,V31-0002
EXIT,12583.73,30903.66,2021-01-21,raw_breakout,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,TRAILING_WIN,425.54,3.5,30903.66,55.6802,226,V3,MRVL,swing,V31-0002
ENTRY,12334.07,18569.59,2021-02-02,raw_trend_resume,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,30903.66,51.607,239,V3,LRCX,swing,V31-0003
EXIT,12457.42,31027.01,2021-02-04,raw_trend_resume,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,TRAILING_WIN,123.35,1.0,31027.01,52.1231,239,V3,LRCX,swing,V31-0003
ENTRY,12364.81,18662.2,2021-02-04,raw_trend_resume,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,31027.01,51.953,238,V3,LRCX,swing,V31-0004
EXIT,12488.45,31150.65,2021-02-08,raw_trend_resume,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,TRAILING_WIN,123.65,1.0,31150.65,52.4725,238,V3,LRCX,swing,V31-0004
ENTRY,12413.77,18736.88,2021-02-08,raw_trend_resume,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,31150.65,53.278,233,V3,LRCX,swing,V31-0005
ENTRY,7479.1,11257.78,2021-02-08,raw_pullback_reversal,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,31150.65,51.58,145,V3,MRVL,monthly,V31-0006
EXIT,12599.99,23857.77,2021-02-10,raw_trend_resume,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,TRAILING_WIN,186.22,1.5,31289.02,54.0772,233,V3,LRCX,swing,V31-0005
ENTRY,9533.83,14323.94,2021-02-10,v1_breakout,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,31289.02,14.7583,646,V2,NVDA,monthly,V31-0007
