avg_dollar_volume,behavior,capital,close_date,close_price,close_reason,entry_date,entry_price,entry_rule,exit_price,held_sessions,highest_price,hold_days,id,initial_stop_price,latest_price,liquidity_cap,market_value,outcome,realized_pnl,realized_pnl_pct,selected_version,shares,status,stop_cap_pct,stop_price,strategy_id,technical_initial_stop_price,ticker,timeframe,unrealized_pnl,unrealized_pnl_pct,v3_quality_score,v3_reason
11407954820.1,raw_breakout_monthly,3850.16,2024-03-04,210.7456,ضرب الوقف المتحرك/الفني,2024-03-01,202.64,raw_breakout,214.7984,1,211.01,21,V3-0001,176.555,202.64,114079548.2,0.0,TRAILING_WIN,154.01,4.0,v3_raw_rebuild,19,CLOSED,,210.7456,AMD_monthly_raw_breakout_20_6_21_25_soft_market,176.555,AMD,monthly,0.0,-0.0,137.14,نقاط الجودة 137.14؛ فوز 100.00%؛ متوسط 6.40%؛ أسوأ 2.00%
868023249.79,raw_breakout_swing,2405.91,2024-03-04,79.9383,ضرب الوقف المتحرك/الفني,2024-03-01,77.61,raw_breakout,80.7144,1,80.09,8,V3-0002,71.6114,77.61,8680232.5,0.0,TRAILING_WIN,72.18,3.0,v3_raw_rebuild,31,CLOSED,,79.9383,MRVL_swing_raw_breakout_20_4_8_40_none,71.6114,MRVL,swing,0.0,0.0,115.34,نقاط الجودة 115.34؛ فوز 100.00%؛ متوسط 3.58%؛ أسوأ 1.00%
11569980681.21,raw_breakout_monthly,3901.84,2024-03-06,213.5744,ضرب الوقف المتحرك/الفني,2024-03-04,205.36,raw_breakout,217.6816,2,214.81,21,V3-0003,178.9257,205.13,115699806.81,0.0,TRAILING_WIN,156.07,4.0,v3_raw_rebuild,19,CLOSED,,213.5744,AMD_monthly_raw_breakout_20_6_21_25_soft_market,178.9257,AMD,monthly,0.0,-0.11,137.14,نقاط الجودة 137.14؛ فوز 100.00%؛ متوسط 6.40%؛ أسوأ 2.00%
900108131.97,raw_breakout_swing,2459.85,2024-03-06,81.7305,ضرب الوقف المتحرك/الفني,2024-03-04,79.35,raw_breakout,82.524,2,82.51,8,V3-0004,73.4871,78.73,9001081.32,0.0,TRAILING_WIN,73.8,3.0,v3_raw_rebuild,31,CLOSED,,81.7305,MRVL_swing_raw_breakout_20_4_8_40_none,73.4871,MRVL,swing,0.0,-0.78,115.34,نقاط الجودة 115.34؛ فوز 100.00%؛ متوسط 3.58%؛ أسوأ 1.00%
42071518461.31,raw_breakout_swing,1534.27,2024-03-05,86.0894,ضرب الوقف المتحرك/الفني,2024-03-04,85.237,raw_breakout,88.6465,1,86.097,5,V3-0005,77.9781,85.237,420715184.61,0.0,TRAILING_WIN,15.34,1.0,v3_raw_rebuild,18,CLOSED,,86.0894,NVDA_swing_raw_breakout_100_4_5_25_none,77.9781,NVDA,swing,0.0,-0.0,89.62,نقاط الجودة 89.62؛ فوز 100.00%؛ متوسط 2.08%؛ أسوأ 1.00%
954812916.59,raw_breakout_swing,4149.87,2024-03-07,85.4385,ضرب الوقف المتحرك/الفني,2024-03-06,81.37,raw_breakout,84.6248,1,85.76,8,V3-0006,75.3657,81.37,9548129.17,0.0,TRAILING_WIN,207.49,5.0,v3_raw_rebuild,51,CLOSED,,85.4385,MRVL_swing_raw_breakout_20_4_8_40_none,75.3657,MRVL,swing,0.0,0.0,115.34,نقاط الجودة 115.34؛ فوز 100.00%؛ متوسط 3.58%؛ أسوأ 1.00%
42205052548.43,raw_breakout_swing,2483.6,2024-03-07,92.248,ضرب الوقف المتحرك/الفني,2024-03-06,88.7,raw_breakout,92.248,1,92.767,5,V3-0007,81.3966,88.7,422050525.48,0.0,TRAILING_WIN,99.34,4.0,v3_raw_rebuild,28,CLOSED,,92.248,NVDA_swing_raw_breakout_100_4_5_25_none,81.3966,NVDA,swing,0.0,-0.0,89.62,نقاط الجودة 89.62؛ فوز 100.00%؛ متوسط 2.08%؛ أسوأ 1.00%
3314918269.61,raw_rsi_recovery_swing,1533.73,2024-03-07,143.6129,ضرب الوقف المتحرك/الفني,2024-03-06,139.43,raw_rsi_recovery,145.0072,1,144.065,5,V3-0008,132.5,139.43,33149182.7,0.0,TRAILING_WIN,46.01,3.0,v3_raw_rebuild,11,CLOSED,,143.6129,PANW_swing_raw_rsi_10_30_4_5_none,132.5,PANW,swing,0.0,-0.0,97.5,نقاط الجودة 97.50؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%
3314918269.61,raw_rsi_recovery_monthly,836.58,2024-03-07,143.6129,ضرب الوقف المتحرك/الفني,2024-03-06,139.43,raw_rsi_recovery,147.7958,1,144.065,10,V3-0009,130.045,139.43,33149182.7,0.0,TRAILING_WIN,25.1,3.0,v3_raw_rebuild,6,CLOSED,,143.6129,PANW_monthly_raw_rsi_10_30_6_10_none,130.045,PANW,monthly,0.0,-0.0,97.5,نقاط الجودة 97.50؛ فوز 100.00%؛ متوسط 3.00%؛ أسوأ 1.00%
1031707942.68,raw_breakout_swing,4339.59,2024-03-08,78.7457,ضرب الوقف المتحرك/الفني,2024-03-07,85.09,raw_breakout,88.4936,1,85.09,8,V3-0010,78.7457,85.09,10317079.43,0.0,LOSS,-323.56,-7.46,v3_raw_rebuild,51,CLOSED,,78.7457,MRVL_swing_raw_breakout_20_4_8_40_none,78.7457,MRVL,swing,0.0,-0.0,115.34,نقاط الجودة 115.34؛ فوز 100.00%؛ متوسط 3.58%؛ أسوأ 1.00%
