avg_dollar_volume,behavior,capital,close_date,close_price,close_reason,entry_date,entry_price,entry_rule,exit_price,highest_price,hold_days,id,initial_stop_price,latest_price,liquidity_cap,market_value,outcome,realized_pnl,realized_pnl_pct,selected_version,shares,status,stop_cap_pct,stop_price,strategy_id,technical_initial_stop_price,ticker,timeframe,unrealized_pnl,unrealized_pnl_pct,v3_context_note,v3_quality_score,v3_reason
18559552584.95,v1_success_monthly,3971.23,2024-01-09,53.8206,ضرب الوقف المتحرك/الفني,2024-01-08,52.253,v1_breakout,57.4783,54.325,21,V3-0001,48.3704,52.253,185595525.85,0.0,TRAILING_WIN,119.14,3.0,v3_adaptive_quality,76,CLOSED,,53.8206,NVDA_monthly_breakout_100,48.3704,NVDA,monthly,0.0,-0.0,"لا توجد قراءة سوقية; اختراق: close/MA20 52.25/48.78, ret20 12.14%",76.81,إبقاء الحجم مع تعديل الهدف/المدة عند الحاجة
19760414484.84,v1_success_monthly,4038.64,2024-01-10,54.2028,ضرب الوقف المتحرك/الفني,2024-01-09,53.14,v1_breakout,58.454,54.6,21,V3-0002,49.0234,53.14,197604144.85,0.0,TRAILING_WIN,80.77,2.0,v3_adaptive_quality,76,CLOSED,,54.2028,NVDA_monthly_breakout_100,49.0234,NVDA,monthly,0.0,-0.0,"لا توجد قراءة سوقية; اختراق: close/MA20 53.14/49.06, ret20 11.86%",76.81,إبقاء الحجم مع تعديل الهدف/المدة عند الحاجة
20022650729.31,v1_success_monthly,4076.25,2024-01-11,54.8935,ضرب الوقف المتحرك/الفني,2024-01-10,54.35,v1_breakout,59.785,55.346,21,V3-0003,50.1738,54.35,200226507.29,0.0,TRAILING_WIN,40.76,1.0,v3_adaptive_quality,75,CLOSED,,54.8935,NVDA_monthly_breakout_100,50.1738,NVDA,monthly,0.0,-0.0,"لا توجد قراءة سوقية; اختراق: close/MA20 54.35/49.45, ret20 16.56%",76.81,إبقاء الحجم مع تعديل الهدف/المدة عند الحاجة
20771084391.53,v1_success_monthly,4056.83,2024-01-16,56.4667,ضرب الوقف المتحرك/الفني,2024-01-11,54.822,v1_breakout,60.3042,56.835,21,V3-0004,50.6704,54.71,207710843.92,0.0,TRAILING_WIN,121.71,3.0,v3_adaptive_quality,74,CLOSED,,56.4667,NVDA_monthly_breakout_100,50.6704,NVDA,monthly,0.0,-0.2,"لا توجد قراءة سوقية; اختراق: close/MA20 54.82/49.80, ret20 15.03%",76.81,إبقاء الحجم مع تعديل الهدف/المدة عند الحاجة
625462245.14,v1_success_monthly,2041.97,2024-01-12,66.5287,ضرب الوقف المتحرك/الفني,2024-01-11,65.87,v1_breakout,72.457,67.15,21,V3-0005,59.4093,65.87,6254622.45,0.0,TRAILING_WIN,20.42,1.0,v3_adaptive_quality,31,CLOSED,,66.5287,MRVL_monthly_breakout_100,59.4093,MRVL,monthly,0.0,0.0,"لا توجد قراءة سوقية; اختراق: close/MA20 65.87/60.37, ret20 21.40%",56.51,خفض محدود بسبب خسارة عميقة؛ خفض محدود بسبب تركيز زمني
20981635996.72,v1_success_monthly,4115.89,2024-01-18,57.5096,ضرب الوقف المتحرك/الفني,2024-01-16,56.382,v1_breakout,62.0202,57.6,21,V3-0006,52.0451,56.053,209816359.97,0.0,TRAILING_WIN,82.31,2.0,v3_adaptive_quality,73,CLOSED,,57.5096,NVDA_monthly_breakout_100,52.0451,NVDA,monthly,0.0,-0.58,"لا توجد قراءة سوقية; اختراق: close/MA20 56.38/50.54, ret20 16.61%",76.81,إبقاء الحجم مع تعديل الهدف/المدة عند الحاجة
8742223691.69,v1_success_swing,2381.1,2024-01-17,160.3274,ضرب الوقف المتحرك/الفني,2024-01-16,158.74,v1_breakout,165.0896,160.64,5,V3-0007,147.2643,158.74,87422236.92,0.0,TRAILING_WIN,23.81,1.0,v3_adaptive_quality,15,CLOSED,,160.3274,AMD_swing_breakout_20,147.2643,AMD,swing,0.0,0.0,"لا توجد قراءة سوقية; اختراق: close/MA20 158.74/143.23, ret20 15.03%",72.6,إبقاء الحجم مع تعديل الهدف/المدة عند الحاجة
9087289827.59,v1_success_swing,2402.55,2024-01-18,168.1785,ضرب الوقف المتحرك/الفني,2024-01-17,160.17,v1_breakout,166.5768,168.6,5,V3-0008,148.41,160.17,90872898.28,0.0,TRAILING_WIN,120.13,5.0,v3_adaptive_quality,15,CLOSED,,168.1785,AMD_swing_breakout_20,148.41,AMD,swing,0.0,-0.0,"لا توجد قراءة سوقية; اختراق: close/MA20 160.17/144.28, ret20 15.11%",72.6,إبقاء الحجم مع تعديل الهدف/المدة عند الحاجة
21508740338.98,v1_success_monthly,4225.92,2024-01-19,59.3913,ضرب الوقف المتحرك/الفني,2024-01-18,57.107,v1_breakout,62.8177,59.5,21,V3-0009,52.3601,57.107,215087403.39,0.0,TRAILING_WIN,169.04,4.0,v3_adaptive_quality,74,CLOSED,,59.3913,NVDA_monthly_breakout_100,52.3601,NVDA,monthly,0.0,-0.0,"لا توجد قراءة سوقية; اختراق: close/MA20 57.11/51.25, ret20 14.04%",76.81,إبقاء الحجم مع تعديل الهدف/المدة عند الحاجة
9845902465.96,v1_success_swing,2440.05,2024-01-19,174.0569,ضرب الوقف المتحرك/الفني,2024-01-18,162.67,v1_breakout,169.1768,174.25,5,V3-0010,149.8657,162.67,98459024.66,0.0,TRAILING_WIN,170.8,7.0,v3_adaptive_quality,15,CLOSED,,174.0569,AMD_swing_breakout_20,149.8657,AMD,swing,0.0,-0.0,"لا توجد قراءة سوقية; اختراق: close/MA20 162.67/145.47, ret20 17.11%",72.6,إبقاء الحجم مع تعديل الهدف/المدة عند الحاجة
