cash,date,open_trades,value
30000.0,2021-01-04,0,30000.0
30000.0,2021-01-05,0,30000.0
30000.0,2021-01-06,0,30000.0
30000.0,2021-01-07,0,30000.0
30000.0,2021-01-08,0,30000.0
30000.0,2021-01-11,0,30000.0
30000.0,2021-01-12,0,30000.0
30000.0,2021-01-13,0,30000.0
18047.1,2021-01-14,1,30000.0
18047.1,2021-01-15,1,29876.51
18319.93,2021-01-19,1,30478.12
18319.93,2021-01-20,1,30535.23
30903.66,2021-01-21,0,30903.66
30903.66,2021-01-22,0,30903.66
30903.66,2021-01-25,0,30903.66
30903.66,2021-01-26,0,30903.66
30903.66,2021-01-27,0,30903.66
30903.66,2021-01-28,0,30903.66
30903.66,2021-01-29,0,30903.66
30903.66,2021-02-01,0,30903.66
18561.94,2021-02-02,1,30903.66
18561.94,2021-02-03,1,30615.43
18587.47,2021-02-04,1,30965.37
18587.47,2021-02-05,1,30719.76
11227.4,2021-02-08,2,31027.25
11227.4,2021-02-09,2,30850.97
14244.8,2021-02-10,2,31006.97
14244.8,2021-02-11,2,31542.51
31509.62,2021-02-12,0,31509.62
18908.15,2021-02-16,1,31509.62
18908.15,2021-02-17,1,31160.88
11389.61,2021-02-18,2,31097.59
6842.11,2021-02-19,3,31393.68
18985.85,2021-02-22,1,30783.81
30448.56,2021-02-23,0,30448.56
18278.87,2021-02-24,1,30448.56
29811.3,2021-02-25,0,29811.3
2389.76,2021-02-26,5,29811.3
5927.68,2021-03-01,5,30816.02
26928.71,2021-03-02,1,30657.44
26928.71,2021-03-03,1,30511.06
30439.39,2021-03-04,0,30439.39
10966.94,2021-03-05,2,30439.39
10966.94,2021-03-08,2,29174.09
4116.46,2021-03-09,4,30780.28
4116.46,2021-03-10,4,29773.87
4148.03,2021-03-11,4,31322.28
2505.32,2021-03-12,5,31090.37
2505.32,2021-03-15,5,31948.43
14736.59,2021-03-16,2,32191.95
22570.37,2021-03-17,1,32470.86
32560.97,2021-03-18,0,32560.97
32560.97,2021-03-19,0,32560.97
32560.97,2021-03-22,0,32560.97
19546.15,2021-03-23,1,32560.97
19546.15,2021-03-24,1,32488.63
32691.14,2021-03-25,0,32691.14
11923.64,2021-03-26,2,32691.14
11923.64,2021-03-29,2,32202.08
11894.23,2021-03-30,2,32898.82
33896.55,2021-03-31,0,33896.55
33896.55,2021-04-01,0,33896.55
33896.55,2021-04-05,0,33896.55
33896.55,2021-04-06,0,33896.55
33896.55,2021-04-07,0,33896.55
33896.55,2021-04-08,0,33896.55
33896.55,2021-04-09,0,33896.55
