action,amount,cash_after,date,entry_rule,note,outcome,pnl,pnl_pct,portfolio_value_after,price,shares,source,ticker,timeframe,trade_id
START,,30000.0,2021-01-04,,بداية المحاكاة,,0.0,0.0,30000.0,,,,PORTFOLIO,,
ENTRY,11952.9,18047.1,2021-01-14,raw_breakout,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,30000.0,51.3,233,V3,MRVL,swing,V31-0001
EXIT,12431.02,30478.12,2021-01-19,raw_breakout,تحقق الهدف - تنفيذ خمس دقائق,WIN,478.12,4.0,30478.12,53.352,233,V3,MRVL,swing,V31-0001
ENTRY,12158.19,18319.93,2021-01-19,raw_breakout,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,30478.12,53.7973,226,V3,MRVL,swing,V31-0002
EXIT,12583.73,30903.66,2021-01-21,raw_breakout,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,TRAILING_WIN,425.54,3.5,30903.66,55.6802,226,V3,MRVL,swing,V31-0002
ENTRY,12341.72,18561.94,2021-02-02,raw_trend_resume,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,30903.66,51.639,239,V3,LRCX,swing,V31-0003
EXIT,12403.43,30965.37,2021-02-04,raw_trend_resume,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,TRAILING_WIN,61.71,0.5,30965.37,51.8972,239,V3,LRCX,swing,V31-0003
ENTRY,12377.9,18587.47,2021-02-04,raw_trend_resume,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,30965.37,52.008,238,V3,LRCX,swing,V31-0004
EXIT,12439.78,31027.25,2021-02-08,raw_trend_resume,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,TRAILING_WIN,61.88,0.5,31027.25,52.268,238,V3,LRCX,swing,V31-0004
ENTRY,12372.33,18654.92,2021-02-08,raw_trend_resume,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,31027.25,53.329,232,V3,LRCX,swing,V31-0005
ENTRY,7427.52,11227.4,2021-02-08,raw_pullback_reversal,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,31027.25,51.58,144,V3,MRVL,monthly,V31-0006
EXIT,12496.05,23723.45,2021-02-10,raw_trend_resume,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,TRAILING_WIN,123.72,1.0,31103.45,53.8623,232,V3,LRCX,swing,V31-0005
ENTRY,9478.65,14244.8,2021-02-10,v1_breakout,دخول بناء على إشارة V3.1,OPEN,0.0,0.0,31103.45,14.7643,642,V2,NVDA,monthly,V31-0007
