avg_dollar_volume,behavior,capital,close_date,close_price,close_reason,close_time_et,entry_date,entry_price,entry_rule,exit_price,held_sessions,highest_price,hold_days,id,initial_stop_price,latest_price,liquidity_cap,market_value,outcome,realized_pnl,realized_pnl_pct,selected_version,shares,status,stop_cap_pct,stop_price,strategy_id,strategy_source,technical_initial_stop_price,ticker,timeframe,unrealized_pnl,unrealized_pnl_pct
378080740.61,اختراق,3950.1,2021-01-19,53.352,تحقق الهدف - تنفيذ خمس دقائق,12:45:00,2021-01-14,51.3,قاعدة اختراق,53.352,2,51.7,8,V31-0001,47.9991,50.77,3780807.41,0.0,WIN,158.0,4.0,السياسة المعتمدة,77,CLOSED,,51.5565,MRVL_swing_breakout_approved,معتمد,47.9991,MRVL,swing,0.0,-1.03
393580475.94,اختراق,4034.8,2021-01-21,55.6802,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-01-19,53.7973,قاعدة اختراق,55.9492,2,55.7,8,V31-0002,50.0921,54.05,3935804.76,0.0,TRAILING_WIN,141.22,3.5,السياسة المعتمدة,75,CLOSED,,55.6802,MRVL_swing_breakout_approved,معتمد,50.0921,MRVL,swing,0.0,0.47
770201976.76,ترند,4076.95,2021-02-04,52.1231,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-02,51.607,متابعة ترند,53.6713,2,52.149,13,V31-0003,48.1051,50.433,7702019.77,0.0,TRAILING_WIN,40.77,1.0,السياسة المعتمدة,79,CLOSED,,52.1231,LRCX_swing_trend_approved,معتمد,48.1051,LRCX,swing,0.0,-2.27
776620583.54,ترند,4104.29,2021-02-08,52.4725,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-04,51.953,متابعة ترند,54.0311,2,52.5,13,V31-0004,48.1051,50.976,7766205.84,0.0,TRAILING_WIN,41.04,1.0,السياسة المعتمدة,79,CLOSED,,52.4725,LRCX_swing_trend_approved,معتمد,48.1051,LRCX,swing,0.0,-1.88
779043024.95,ترند,4102.41,2021-02-10,54.0772,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-08,53.278,متابعة ترند,55.4091,2,54.1,13,V31-0005,48.8052,52.808,7790430.25,0.0,TRAILING_WIN,61.53,1.5,السياسة المعتمدة,77,CLOSED,,54.0772,LRCX_swing_trend_approved,معتمد,48.8052,LRCX,swing,0.0,-0.88
438210004.92,ارتداد,2475.84,2021-02-12,52.0958,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-08,51.58,ارتداد زخم,54.6748,4,52.24,25,V31-0006,48.41,52.11,4382100.05,0.0,TRAILING_WIN,24.76,1.0,السياسة المعتمدة,48,CLOSED,,52.0958,MRVL_monthly_rebound_approved,معتمد,48.41,MRVL,monthly,0.0,1.03
3306126747.45,اختراق,3173.02,2021-02-12,15.201,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-10,14.7583,قاعدة اختراق,16.2341,2,15.2722,21,V31-0007,13.4544,15.27,33061267.47,0.0,TRAILING_WIN,95.2,3.0,السياسة المعتمدة,215,CLOSED,,15.201,NVDA_monthly_breakout_approved,معتمد,13.4544,NVDA,monthly,0.0,3.47
3649696848.9,اختراق,4215.82,2021-02-23,13.9505,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-16,15.3303,قاعدة اختراق,16.8633,5,15.3303,21,V31-0008,13.9505,14.3558,36496968.49,0.0,LOSS,-379.43,-9.0,السياسة المعتمدة,275,CLOSED,,13.9505,NVDA_monthly_breakout_approved,معتمد,13.9505,NVDA,monthly,0.0,-6.36
430908967.29,ارتداد,2523.0,2021-02-22,51.9738,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-18,50.46,ارتداد زخم,53.4876,2,52.22,25,V31-0009,49.25,51.89,4309089.67,0.0,TRAILING_WIN,75.69,3.0,السياسة المعتمدة,50,CLOSED,,51.9738,MRVL_monthly_rebound_approved,معتمد,49.25,MRVL,monthly,0.0,2.83
162407875.74,ارتداد,1515.83,2021-02-22,18.8019,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,10:10:00,2021-02-19,19.4338,ارتداد زخم,21.3771,1,19.4338,21,V31-0010,18.8019,19.4338,1624078.76,0.0,LOSS,-49.28,-3.25,السياسة المعتمدة,78,CLOSED,,18.8019,ANET_monthly_rebound_approved,معتمد,18.8019,ANET,monthly,0.0,-0.0
454904692.21,ارتداد,4040.14,2021-02-25,46.69,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,15:05:00,2021-02-24,49.27,ارتداد زخم,52.2262,1,49.27,25,V31-0011,46.69,49.27,4549046.92,0.0,LOSS,-211.56,-5.24,السياسة المعتمدة,82,CLOSED,,46.69,MRVL_monthly_rebound_approved,معتمد,46.69,MRVL,monthly,0.0,0.0
635722988.2,ارتداد,3993.89,2021-03-02,48.8665,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-26,46.987,ارتداد زخم,49.3364,2,49.0,10,V31-0012,45.521,48.958,6357229.88,0.0,TRAILING_WIN,159.76,4.0,السياسة المعتمدة,85,CLOSED,,48.8665,AVGO_swing_rebound_approved,معتمد,45.521,AVGO,swing,0.0,4.19
797270916.63,ترند,2382.2,2021-03-01,58.9878,تحقق الهدف - تنفيذ خمس دقائق,11:30:00,2021-02-26,56.719,متابعة ترند,58.9878,1,56.719,13,V31-0013,53.641,56.719,7972709.17,0.0,WIN,95.29,4.0,السياسة المعتمدة,42,CLOSED,,53.641,LRCX_swing_trend_approved,معتمد,53.641,LRCX,swing,0.0,0.0
448103399.53,ارتداد,1448.4,2021-03-02,49.487,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-26,48.28,ارتداد زخم,51.1768,2,49.56,25,V31-0014,46.14,49.54,4481034.0,0.0,TRAILING_WIN,36.21,2.5,السياسة المعتمدة,30,CLOSED,,49.487,MRVL_monthly_rebound_approved,معتمد,46.14,MRVL,monthly,0.0,2.61
2044255234.72,ارتداد,776.91,2021-03-02,132.7221,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-26,129.485,ارتداد زخم,134.6644,2,133.0,10,V31-0015,120.544,130.994,20442552.35,0.0,TRAILING_WIN,19.42,2.5,السياسة المعتمدة,6,CLOSED,,132.7221,SHOP_swing_rebound_approved,معتمد,120.544,SHOP,swing,0.0,1.17
2044255234.72,ارتداد,517.94,2021-03-02,132.7221,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-02-26,129.485,ارتداد زخم,137.2541,2,133.0,21,V31-0016,108.1,130.994,20442552.35,0.0,TRAILING_WIN,12.95,2.5,السياسة المعتمدة,4,CLOSED,,132.7221,SHOP_monthly_rebound_approved,معتمد,108.1,SHOP,monthly,0.0,1.17
778592417.32,ترند,1317.38,2021-03-04,54.0004,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:45:00,2021-03-01,59.881,متابعة ترند,62.2762,3,59.881,13,V31-0017,54.0004,55.123,7785924.17,0.0,LOSS,-129.37,-9.82,السياسة المعتمدة,22,CLOSED,,54.0004,LRCX_swing_trend_approved,معتمد,54.0004,LRCX,swing,0.0,-7.95
819142736.42,ارتداد,4052.98,2021-03-09,55.3177,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-03-05,54.77,ارتداد زخم,58.0562,2,55.452,25,V31-0018,50.014,50.261,8191427.36,0.0,TRAILING_WIN,40.53,1.0,السياسة المعتمدة,74,CLOSED,,55.3177,LRCX_monthly_rebound_approved,معتمد,50.014,LRCX,monthly,0.0,-8.23
525885165.33,ارتداد,2449.68,2021-03-09,42.7656,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-03-05,41.52,ارتداد زخم,44.0112,2,42.92,25,V31-0019,37.92,40.07,5258851.65,0.0,TRAILING_WIN,73.49,3.0,السياسة المعتمدة,59,CLOSED,,42.7656,MRVL_monthly_rebound_approved,معتمد,37.92,MRVL,monthly,0.0,-3.49
839652079.67,ارتداد,4076.32,2021-03-11,55.1663,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-03-09,54.351,ارتداد زخم,57.6121,2,55.199,25,V31-0020,50.167,51.87,8396520.8,0.0,TRAILING_WIN,61.15,1.5,السياسة المعتمدة,75,CLOSED,,55.1663,LRCX_monthly_rebound_approved,معتمد,50.167,LRCX,monthly,0.0,-4.56
560494507.36,ارتداد,2455.6,2021-03-11,44.727,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-03-09,43.85,ارتداد زخم,46.481,2,44.89,25,V31-0021,37.92,42.82,5604945.07,0.0,TRAILING_WIN,49.11,2.0,السياسة المعتمدة,56,CLOSED,,44.727,MRVL_monthly_rebound_approved,معتمد,37.92,MRVL,monthly,0.0,-2.35
2350855897.4,ارتداد,1469.96,2021-03-11,116.4662,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-03-09,113.074,ارتداد زخم,117.597,2,116.997,10,V31-0022,102.157,108.73,23508558.97,0.0,TRAILING_WIN,44.1,3.0,السياسة المعتمدة,13,CLOSED,,116.4662,SHOP_swing_rebound_approved,معتمد,102.157,SHOP,swing,0.0,-3.84
2350855897.4,ارتداد,904.59,2021-03-11,116.4662,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-03-09,113.074,ارتداد زخم,119.8584,2,116.997,21,V31-0023,102.157,108.73,23508558.97,0.0,TRAILING_WIN,27.14,3.0,السياسة المعتمدة,8,CLOSED,,116.4662,SHOP_monthly_rebound_approved,معتمد,102.157,SHOP,monthly,0.0,-3.84
862104160.37,ارتداد,4173.95,2021-03-16,46.9569,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-03-11,45.369,ارتداد زخم,47.6375,3,47.123,10,V31-0024,41.926,47.077,8621041.6,0.0,TRAILING_WIN,146.08,3.5,السياسة المعتمدة,92,CLOSED,,46.9569,AVGO_swing_rebound_approved,معتمد,41.926,AVGO,swing,0.0,3.76
881563929.93,ارتداد,2516.33,2021-03-17,55.9483,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-03-11,53.539,ارتداد زخم,56.7513,4,56.017,25,V31-0025,50.167,54.718,8815639.3,0.0,TRAILING_WIN,113.24,4.5,السياسة المعتمدة,47,CLOSED,,55.9483,LRCX_monthly_rebound_approved,معتمد,50.167,LRCX,monthly,0.0,2.2
2259674313.19,ارتداد,1484.91,2021-03-16,118.793,تحقق الهدف - تنفيذ خمس دقائق,09:30:00,2021-03-11,114.224,ارتداد زخم,118.793,3,115.914,10,V31-0026,102.157,115.9,22596743.13,0.0,WIN,59.4,4.0,السياسة المعتمدة,13,CLOSED,,115.3662,SHOP_swing_rebound_approved,معتمد,102.157,SHOP,swing,0.0,1.47
2259674313.19,ارتداد,913.79,2021-03-16,115.3662,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,13:30:00,2021-03-11,114.224,ارتداد زخم,121.0774,3,115.914,21,V31-0027,102.157,115.9,22596743.13,0.0,TRAILING_WIN,9.14,1.0,السياسة المعتمدة,8,CLOSED,,115.3662,SHOP_monthly_rebound_approved,معتمد,102.157,SHOP,monthly,0.0,1.47
182655787.3,ارتداد,559.22,2021-03-16,17.9999,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-03-12,17.4756,ارتداد زخم,18.3494,2,18.0481,10,V31-0028,16.38,17.9144,1826557.87,0.0,TRAILING_WIN,16.78,3.0,السياسة المعتمدة,32,CLOSED,,17.9999,ANET_swing_rebound_approved,معتمد,16.38,ANET,swing,0.0,2.51
812800838.16,ترند,3228.36,2021-03-18,55.8124,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2021-03-16,54.718,متابعة ترند,56.9067,2,55.818,13,V31-0029,50.167,55.301,8128008.38,0.0,TRAILING_WIN,64.57,2.0,السياسة المعتمدة,59,CLOSED,,55.8124,LRCX_swing_trend_approved,معتمد,50.167,LRCX,swing,0.0,1.07
