behavior,entry_rule,hold_days,initial_stop_pct,lookback,rationale,risk_tier,rsi_cross_above,rsi_period,selected_version,size_multiplier,stop_model,strategy_id,target_pct,ticker,timeframe,v1_params,v1_rule_total_return,v1_rule_win_rate,v1_strategy,version,volume_filter
v1_success_swing,v1_rsi_recovery,10,99,21,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,35.0,21,v2_from_v1_success,1.0,v1_atr_support,NVDA_swing_rsi_21_35,5.0,NVDA,swing,period=21;cross_above=35,101.5,87.5,RSI recovery,v3_v1_success_based,1.0
v1_success_monthly,v1_breakout,21,99,100,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,,,v2_from_v1_success,1.0,v1_atr_support,NVDA_monthly_breakout_100,10.0,NVDA,monthly,lookback=100,127.68,77.78,Breakout,v3_v1_success_based,1.0
v1_success_swing,v1_breakout,10,99,55,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,,,v2_from_v1_success,1.0,v1_atr_support,TSLA_swing_breakout_55,5.0,TSLA,swing,lookback=55,102.55,75.0,Breakout,v3_v1_success_based,1.0
v1_success_swing,v1_rsi_recovery,10,99,7,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,30.0,7,v2_from_v1_success,1.0,v1_atr_support,AVGO_swing_rsi_7_30,5.0,AVGO,swing,period=7;cross_above=30,278.53,78.57,RSI recovery,v3_v1_success_based,1.0
v1_success_monthly,v1_rsi_recovery,21,99,14,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,30.0,14,v2_from_v1_success,1.0,v1_atr_support,AVGO_monthly_rsi_14_30,10.0,AVGO,monthly,period=14;cross_above=30,191.39,66.67,RSI recovery,v3_v1_success_based,1.0
v1_success_swing,v1_breakout,10,99,20,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,,,v2_from_v1_success,1.0,v1_atr_support,AMD_swing_breakout_20,5.0,AMD,swing,lookback=20,136.94,68.18,Breakout,v3_v1_success_based,1.0
v1_success_monthly,v1_rsi_recovery,21,99,21,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,35.0,21,v2_from_v1_success,1.0,v1_atr_support,PANW_monthly_rsi_21_35,10.0,PANW,monthly,period=21;cross_above=35,159.73,90.0,RSI recovery,v3_v1_success_based,1.0
v1_success_swing,v1_rsi_recovery,10,99,14,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,30.0,14,v2_from_v1_success,1.0,v1_atr_support,ANET_swing_rsi_14_30,5.0,ANET,swing,period=14;cross_above=30,133.26,90.0,RSI recovery,v3_v1_success_based,1.0
v1_success_monthly,v1_rsi_recovery,21,99,21,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,45.0,21,v2_from_v1_success,1.0,v1_atr_support,ANET_monthly_rsi_21_45,10.0,ANET,monthly,period=21;cross_above=45,302.38,86.67,RSI recovery,v3_v1_success_based,1.0
v1_success_swing,v1_rsi_recovery,10,99,7,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,40.0,7,v2_from_v1_success,1.0,v1_atr_support,LRCX_swing_rsi_7_40,5.0,LRCX,swing,period=7;cross_above=40,366.4,78.79,RSI recovery,v3_v1_success_based,1.0
v1_success_monthly,v1_breakout,21,99,100,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,,,v2_from_v1_success,1.0,v1_atr_support,MRVL_monthly_breakout_100,10.0,MRVL,monthly,lookback=100,92.79,62.5,Breakout,v3_v1_success_based,1.0
v1_success_swing,v1_rsi_recovery,10,99,14,تخصيص مبني على قواعد النسخة الأولى التي أثبتت نجاحها على السهم نفسه، مع الاحتفاظ بوقف ATR والدعم.,benchmark,35.0,14,v2_from_v1_success,1.0,v1_atr_support,SHOP_swing_rsi_14_35,5.0,SHOP,swing,period=14;cross_above=35,356.29,78.95,RSI recovery,v3_v1_success_based,1.0
