base_close_date,base_outcome,base_pnl,base_pnl_pct,entry_date,pnl_delta,shadow_close_date,shadow_outcome,shadow_pnl,shadow_pnl_pct,strategy_id,ticker,timeframe
2026-05-06,TRAILING_WIN,7535.29,19.0,2026-05-01,-9871.59,2026-05-04,LOSS,-2336.3,-6.0,AMD_swing_breakout_20,AMD,swing
2026-05-20,TRAILING_WIN,730.32,5.0,2026-05-14,-2227.48,2026-05-19,LOSS,-1497.16,-10.0,MRVL_monthly_breakout_100,MRVL,monthly
2025-04-24,TRAILING_WIN,133.31,1.0,2025-04-09,-1447.88,2025-04-10,LOSS,-1314.57,-10.0,AVGO_monthly_rsi_14_30,AVGO,monthly
2024-12-13,TRAILING_WIN,297.74,3.0,2024-12-04,-1325.65,2024-12-09,LOSS,-1027.91,-10.0,MRVL_monthly_breakout_100,MRVL,monthly
2025-06-25,TRAILING_WIN,86.53,1.0,2025-06-16,-923.32,2025-06-23,LOSS,-836.79,-10.0,ANET_monthly_rsi_21_45,ANET,monthly
2025-03-12,TRAILING_WIN,218.36,2.0,2025-03-07,-885.12,2025-03-10,LOSS,-666.76,-6.0,AVGO_swing_rsi_7_30,AVGO,swing
2025-07-24,TRAILING_WIN,192.49,2.0,2025-07-17,-750.72,2025-07-22,LOSS,-558.23,-6.0,AMD_swing_breakout_20,AMD,swing
2026-05-26,TRAILING_WIN,3121.65,10.0,2026-05-22,-608.63,2026-05-26,TRAILING_WIN,2513.02,10.0,MRVL_monthly_breakout_100,MRVL,monthly
,,-3591.36,-8.86,2026-05-14,-581.24,2026-05-26,LOSS,-4172.6,-10.0,NVDA_monthly_breakout_100,NVDA,monthly
2026-05-08,TRAILING_WIN,3404.83,8.0,2026-05-06,-370.82,2026-05-08,TRAILING_WIN,3034.01,8.0,AMD_swing_breakout_20,AMD,swing
2025-04-23,TRAILING_WIN,113.34,4.0,2025-04-09,-283.34,2025-04-10,LOSS,-170.0,-6.0,SHOP_swing_rsi_14_35,SHOP,swing
2026-05-11,TRAILING_WIN,1764.8,4.0,2026-05-08,-205.61,2026-05-11,TRAILING_WIN,1559.19,4.0,TSLA_swing_breakout_55,TSLA,swing
2026-05-22,TRAILING_WIN,628.54,3.0,2026-05-21,-191.69,2026-05-22,TRAILING_WIN,436.85,3.0,ANET_swing_rsi_14_30,ANET,swing
2026-05-21,TRAILING_WIN,613.39,3.0,2026-05-20,-184.02,2026-05-21,TRAILING_WIN,429.37,3.0,LRCX_swing_rsi_7_40,LRCX,swing
2026-04-24,TRAILING_WIN,5679.14,15.0,2026-04-23,-137.4,2026-04-24,TRAILING_WIN,5541.74,15.0,AMD_swing_breakout_20,AMD,swing
2024-05-01,LOSS,-247.68,-6.53,2024-04-26,-118.76,2024-05-01,LOSS,-366.44,-6.0,LRCX_swing_rsi_7_40,LRCX,swing
2025-10-06,TRAILING_WIN,3752.73,33.0,2025-10-02,-112.02,2025-10-06,TRAILING_WIN,3640.71,33.0,AMD_swing_breakout_20,AMD,swing
2026-05-11,TRAILING_WIN,792.03,3.0,2026-05-08,-81.93,2026-05-11,TRAILING_WIN,710.1,3.0,AMD_swing_breakout_20,AMD,swing
2024-11-15,LOSS,-126.16,-3.36,2024-11-13,-79.68,2024-11-15,LOSS,-205.84,-3.36,ANET_monthly_rsi_21_45,ANET,monthly
2025-11-20,TRAILING_WIN,1339.71,6.0,2025-11-19,-63.8,2025-11-20,TRAILING_WIN,1275.91,6.0,AVGO_monthly_rsi_14_30,AVGO,monthly
2026-01-23,TRAILING_WIN,1281.34,5.0,2026-01-22,-63.44,2026-01-23,TRAILING_WIN,1217.9,5.0,AMD_swing_breakout_20,AMD,swing
2025-04-09,TRAILING_WIN,2371.66,20.0,2025-04-08,-62.42,2025-04-09,TRAILING_WIN,2309.24,20.0,AVGO_swing_rsi_7_30,AVGO,swing
2026-02-11,TRAILING_WIN,1832.26,9.0,2026-02-10,-57.26,2026-02-11,TRAILING_WIN,1775.0,9.0,SHOP_swing_rsi_14_35,SHOP,swing
2025-09-15,TRAILING_WIN,1247.21,7.0,2025-09-12,-55.43,2025-09-15,TRAILING_WIN,1191.78,7.0,TSLA_swing_breakout_55,TSLA,swing
2025-09-12,TRAILING_WIN,1213.38,7.0,2025-09-11,-51.63,2025-09-12,TRAILING_WIN,1161.75,7.0,TSLA_swing_breakout_55,TSLA,swing
2026-05-12,TRAILING_WIN,452.05,1.0,2026-05-11,-50.47,2026-05-12,TRAILING_WIN,401.58,1.0,NVDA_monthly_breakout_100,NVDA,monthly
2025-10-29,TRAILING_WIN,1115.72,5.0,2025-10-28,-50.26,2025-10-29,TRAILING_WIN,1065.46,5.0,NVDA_monthly_breakout_100,NVDA,monthly
