avg_dollar_volume,behavior,capital,close_date,close_price,close_reason,entry_date,entry_price,entry_rule,exit_price,held_sessions,highest_price,hold_days,id,initial_stop_price,latest_price,liquidity_cap,market_value,outcome,realized_pnl,realized_pnl_pct,selected_version,shares,status,stop_cap_pct,stop_price,strategy_id,technical_initial_stop_price,ticker,timeframe,unrealized_pnl,verification_avg_return,verification_total_return,verification_trades,verification_win_rate
18559552584.95,v1_success_monthly,3971.23,2024-01-09,53.8206,ضرب الوقف المتحرك/الفني,2024-01-08,52.253,v1_breakout,57.4783,1,54.325,21,V2-0001,48.3704,52.253,185595525.85,0.0,TRAILING_WIN,119.14,3.0,v2_from_v1_success,76,CLOSED,10.0,53.8206,NVDA_monthly_breakout_100,48.3704,NVDA,monthly,0.0,1.3,12.4,10,70.0
19760414484.84,v1_success_monthly,4038.64,2024-01-10,54.2028,ضرب الوقف المتحرك/الفني,2024-01-09,53.14,v1_breakout,58.454,1,54.6,21,V2-0002,49.0234,53.14,197604144.85,0.0,TRAILING_WIN,80.77,2.0,v2_from_v1_success,76,CLOSED,10.0,54.2028,NVDA_monthly_breakout_100,49.0234,NVDA,monthly,0.0,1.3,12.4,10,70.0
4727232300.77,v1_success_swing,2381.48,2024-01-11,109.3315,ضرب الوقف المتحرك/الفني,2024-01-09,108.249,v1_rsi_recovery,113.6615,2,110.13,10,V2-0003,104.151,108.057,47272323.01,0.0,TRAILING_WIN,23.81,1.0,v2_from_v1_success,22,CLOSED,6.0,109.3315,AVGO_swing_rsi_7_30,104.151,AVGO,swing,0.0,3.33,28.27,8,75.0
20022650729.31,v1_success_monthly,3097.95,2024-01-11,54.8935,ضرب الوقف المتحرك/الفني,2024-01-10,54.35,v1_breakout,59.785,1,55.346,21,V2-0004,50.1738,54.35,200226507.29,0.0,TRAILING_WIN,30.98,1.0,v2_from_v1_success,57,CLOSED,10.0,54.8935,NVDA_monthly_breakout_100,50.1738,NVDA,monthly,0.0,1.3,12.4,10,70.0
20771084391.53,v1_success_monthly,4056.83,2024-01-16,56.4667,ضرب الوقف المتحرك/الفني,2024-01-11,54.822,v1_breakout,60.3042,2,56.835,21,V2-0005,50.6704,54.71,207710843.92,0.0,TRAILING_WIN,121.71,3.0,v2_from_v1_success,74,CLOSED,10.0,56.4667,NVDA_monthly_breakout_100,50.6704,NVDA,monthly,0.0,1.3,12.4,10,70.0
706117866.61,v1_success_swing,2432.64,2024-01-16,76.7802,ضرب الوقف المتحرك/الفني,2024-01-11,76.02,v1_rsi_recovery,79.821,2,76.89,10,V2-0006,72.325,75.967,7061178.67,0.0,TRAILING_WIN,24.33,1.0,v2_from_v1_success,32,CLOSED,6.0,76.7802,LRCX_swing_rsi_7_40,72.325,LRCX,swing,0.0,1.37,19.16,15,60.0
625462245.14,v1_success_monthly,1449.14,2024-01-12,66.5287,ضرب الوقف المتحرك/الفني,2024-01-11,65.87,v1_breakout,72.457,1,67.15,21,V2-0007,59.4093,65.87,6254622.45,0.0,TRAILING_WIN,14.49,1.0,v2_from_v1_success,22,CLOSED,10.0,66.5287,MRVL_monthly_breakout_100,59.4093,MRVL,monthly,0.0,0.95,17.41,22,50.0
20981635996.72,v1_success_monthly,4115.89,2024-01-18,57.5096,ضرب الوقف المتحرك/الفني,2024-01-16,56.382,v1_breakout,62.0202,2,57.6,21,V2-0008,52.0451,56.053,209816359.97,0.0,TRAILING_WIN,82.31,2.0,v2_from_v1_success,73,CLOSED,10.0,57.5096,NVDA_monthly_breakout_100,52.0451,NVDA,monthly,0.0,1.3,12.4,10,70.0
8742223691.69,v1_success_swing,2381.1,2024-01-17,160.3274,ضرب الوقف المتحرك/الفني,2024-01-16,158.74,v1_breakout,166.677,1,160.64,10,V2-0009,149.2156,158.74,87422236.92,0.0,TRAILING_WIN,23.81,1.0,v2_from_v1_success,15,CLOSED,6.0,160.3274,AMD_swing_breakout_20,147.2643,AMD,swing,0.0,-0.24,-2.72,5,40.0
9087289827.59,v1_success_swing,2402.55,2024-01-18,168.1785,ضرب الوقف المتحرك/الفني,2024-01-17,160.17,v1_breakout,168.1785,1,168.6,10,V2-0010,150.5598,160.17,90872898.28,0.0,TRAILING_WIN,120.13,5.0,v2_from_v1_success,15,CLOSED,6.0,168.1785,AMD_swing_breakout_20,148.41,AMD,swing,0.0,-0.24,-2.72,5,40.0
21508740338.98,v1_success_monthly,4225.92,2024-01-19,59.3913,ضرب الوقف المتحرك/الفني,2024-01-18,57.107,v1_breakout,62.8177,1,59.5,21,V2-0011,52.3601,57.107,215087403.39,0.0,TRAILING_WIN,169.04,4.0,v2_from_v1_success,74,CLOSED,10.0,59.3913,NVDA_monthly_breakout_100,52.3601,NVDA,monthly,0.0,1.3,12.4,10,70.0
9845902465.96,v1_success_swing,2440.05,2024-01-19,174.0569,ضرب الوقف المتحرك/الفني,2024-01-18,162.67,v1_breakout,170.8035,1,174.25,10,V2-0012,152.9098,162.67,98459024.66,0.0,TRAILING_WIN,170.8,7.0,v2_from_v1_success,15,CLOSED,6.0,174.0569,AMD_swing_breakout_20,149.8657,AMD,swing,0.0,-0.24,-2.72,5,40.0
661082799.63,v1_success_monthly,1568.83,2024-01-19,70.9384,ضرب الوقف المتحرك/الفني,2024-01-18,68.21,v1_breakout,75.031,1,71.21,21,V2-0013,61.389,68.21,6610828.0,0.0,TRAILING_WIN,62.75,4.0,v2_from_v1_success,23,CLOSED,10.0,70.9384,MRVL_monthly_breakout_100,60.6864,MRVL,monthly,0.0,0.95,17.41,22,50.0
21973497258.29,v1_success_monthly,4402.33,2024-01-22,60.0859,ضرب الوقف المتحرك/الفني,2024-01-19,59.491,v1_breakout,65.4401,1,60.331,21,V2-0014,54.3325,59.491,219734972.58,0.0,TRAILING_WIN,44.03,1.0,v2_from_v1_success,74,CLOSED,10.0,60.0859,NVDA_monthly_breakout_100,54.3325,NVDA,monthly,0.0,1.3,12.4,10,70.0
10622060767.78,v1_success_swing,2613.45,2024-01-24,179.4569,ضرب الوقف المتحرك/الفني,2024-01-19,174.23,v1_breakout,182.9415,3,180.58,10,V2-0015,163.7762,168.42,106220607.68,0.0,TRAILING_WIN,78.4,3.0,v2_from_v1_success,15,CLOSED,6.0,179.4569,AMD_swing_breakout_20,160.3414,AMD,swing,0.0,-0.24,-2.72,5,40.0
709549095.38,v1_success_monthly,1563.76,2024-01-22,72.5016,ضرب الوقف المتحرك/الفني,2024-01-19,71.08,v1_breakout,78.188,1,72.55,21,V2-0016,63.972,71.08,7095490.95,0.0,TRAILING_WIN,31.28,2.0,v2_from_v1_success,22,CLOSED,10.0,72.5016,MRVL_monthly_breakout_100,63.1064,MRVL,monthly,0.0,0.95,17.41,22,50.0
22367372208.67,v1_success_monthly,3400.28,2024-01-24,62.6367,ضرب الوقف المتحرك/الفني,2024-01-22,59.654,v1_breakout,65.6194,2,62.849,21,V2-0017,54.4923,59.873,223673722.09,0.0,TRAILING_WIN,170.01,5.0,v2_from_v1_success,57,CLOSED,10.0,62.6367,NVDA_monthly_breakout_100,54.4923,NVDA,monthly,0.0,1.3,12.4,10,70.0
23616043687.05,v1_success_monthly,4540.79,2024-01-25,62.5892,ضرب الوقف المتحرك/الفني,2024-01-24,61.362,v1_breakout,67.4982,1,62.719,21,V2-0018,55.8767,61.362,236160436.87,0.0,TRAILING_WIN,90.81,2.0,v2_from_v1_success,74,CLOSED,10.0,62.5892,NVDA_monthly_breakout_100,55.8767,NVDA,monthly,0.0,1.3,12.4,10,70.0
12474622402.65,v1_success_swing,2674.35,2024-01-25,183.6387,ضرب الوقف المتحرك/الفني,2024-01-24,178.29,v1_breakout,187.2045,1,184.92,10,V2-0019,167.5926,178.29,124746224.03,0.0,TRAILING_WIN,80.23,3.0,v2_from_v1_success,15,CLOSED,6.0,183.6387,AMD_swing_breakout_20,163.0557,AMD,swing,0.0,-0.24,-2.72,5,40.0
27565808728.7,v1_success_monthly,4565.04,2024-02-05,69.468,ضرب الوقف المتحرك/الفني,2024-02-02,66.16,v1_breakout,72.776,1,69.497,21,V2-0020,60.4679,66.16,275658087.29,0.0,TRAILING_WIN,228.25,5.0,v2_from_v1_success,69,CLOSED,10.0,69.468,NVDA_monthly_breakout_100,60.4679,NVDA,monthly,0.0,1.3,12.4,10,70.0
28904508656.72,v1_success_monthly,4645.24,2024-02-07,70.0253,ضرب الوقف المتحرك/الفني,2024-02-05,69.332,v1_breakout,76.2652,2,70.22,21,V2-0021,63.3802,68.223,289045086.57,0.0,TRAILING_WIN,46.46,1.0,v2_from_v1_success,67,CLOSED,10.0,70.0253,NVDA_monthly_breakout_100,63.3802,NVDA,monthly,0.0,1.3,12.4,10,70.0
29238887926.87,v1_success_monthly,4696.63,2024-02-09,71.501,ضرب الوقف المتحرك/الفني,2024-02-07,70.099,v1_breakout,77.1089,2,72.185,21,V2-0022,63.5481,69.641,292388879.27,0.0,TRAILING_WIN,93.94,2.0,v2_from_v1_success,67,CLOSED,10.0,71.501,NVDA_monthly_breakout_100,63.5481,NVDA,monthly,0.0,1.3,12.4,10,70.0
29170356292.32,v1_success_monthly,4760.78,2024-02-12,74.297,ضرب الوقف المتحرك/الفني,2024-02-09,72.133,v1_breakout,79.3463,1,74.611,21,V2-0023,65.533,72.133,291703562.92,0.0,TRAILING_WIN,142.82,3.0,v2_from_v1_success,66,CLOSED,10.0,74.297,NVDA_monthly_breakout_100,65.533,NVDA,monthly,0.0,1.3,12.4,10,70.0
30421707259.19,v1_success_monthly,4768.37,2024-02-13,72.9705,ضرب الوقف المتحرك/الفني,2024-02-12,72.248,v1_breakout,79.4728,1,73.45,21,V2-0024,65.2117,72.248,304217072.59,0.0,TRAILING_WIN,47.68,1.0,v2_from_v1_success,66,CLOSED,10.0,72.9705,NVDA_monthly_breakout_100,65.2117,NVDA,monthly,0.0,1.3,12.4,10,70.0
36333322180.91,v1_success_monthly,4790.82,2024-02-23,81.6795,ضرب الوقف المتحرك/الفني,2024-02-22,78.538,v1_breakout,86.3918,1,82.394,21,V2-0025,70.6842,78.538,363333221.81,0.0,TRAILING_WIN,191.63,4.0,v2_from_v1_success,61,CLOSED,10.0,81.6795,NVDA_monthly_breakout_100,68.0342,NVDA,monthly,0.0,1.3,12.4,10,70.0
3239891640.41,v1_success_swing,2870.78,2024-02-23,131.7949,ضرب الوقف المتحرك/الفني,2024-02-22,130.49,v1_rsi_recovery,137.0145,1,131.962,10,V2-0026,122.7194,130.49,32398916.4,0.0,TRAILING_WIN,28.71,1.0,v2_from_v1_success,22,CLOSED,6.0,131.7949,AVGO_swing_rsi_7_30,122.7194,AVGO,swing,0.0,3.33,28.27,8,75.0
825380658.58,v1_success_monthly,1746.94,2024-02-23,67.8619,ضرب الوقف المتحرك/الفني,2024-02-22,67.19,v1_rsi_recovery,73.909,1,68.436,21,V2-0027,63.27,67.19,8253806.59,0.0,TRAILING_WIN,17.47,1.0,v2_from_v1_success,26,CLOSED,10.0,67.8619,ANET_monthly_rsi_21_45,63.27,ANET,monthly,0.0,1.55,35.75,22,59.09
38114452401.95,v1_success_monthly,4886.65,2024-02-26,80.3933,ضرب الوقف المتحرك/الفني,2024-02-23,78.817,v1_breakout,86.6987,1,80.646,21,V2-0028,70.9353,78.817,381144524.02,0.0,TRAILING_WIN,97.73,2.0,v2_from_v1_success,62,CLOSED,10.0,80.3933,NVDA_monthly_breakout_100,68.0451,NVDA,monthly,0.0,1.3,12.4,10,70.0
2172692127.57,v1_success_monthly,2961.94,2024-02-26,156.5599,ضرب الوقف المتحرك/الفني,2024-02-23,141.045,v1_rsi_recovery,155.1495,1,156.94,21,V2-0029,130.045,141.045,21726921.28,0.0,TRAILING_WIN,325.82,11.0,v2_from_v1_success,21,CLOSED,10.0,156.5599,PANW_monthly_rsi_21_35,130.045,PANW,monthly,0.0,1.08,17.65,17,58.82
11136642248.9,v1_success_swing,5005.78,2024-03-01,202.1565,ضرب الوقف المتحرك/الفني,2024-02-29,192.53,v1_breakout,202.1565,1,202.72,10,V2-0030,180.9782,192.53,111366422.49,0.0,TRAILING_WIN,250.29,5.0,v2_from_v1_success,26,CLOSED,6.0,202.1565,AMD_swing_breakout_20,175.6757,AMD,swing,0.0,-0.24,-2.72,5,40.0
11407954820.1,v1_success_swing,5066.0,2024-03-04,210.7456,ضرب الوقف المتحرك/الفني,2024-03-01,202.64,v1_breakout,212.772,1,211.01,10,V2-0031,190.4816,202.64,114079548.2,0.0,TRAILING_WIN,202.64,4.0,v2_from_v1_success,25,CLOSED,6.0,210.7456,AMD_swing_breakout_20,185.25,AMD,swing,0.0,-0.24,-2.72,5,40.0
868023249.79,v1_success_monthly,3104.4,2024-03-04,79.9383,ضرب الوقف المتحرك/الفني,2024-03-01,77.61,v1_breakout,85.371,1,80.09,21,V2-0032,69.849,77.61,8680232.5,0.0,TRAILING_WIN,93.13,3.0,v2_from_v1_success,40,CLOSED,10.0,79.9383,MRVL_monthly_breakout_100,68.6121,MRVL,monthly,0.0,0.95,17.41,22,50.0
42071518461.31,v1_success_monthly,5284.69,2024-03-05,86.0894,ضرب الوقف المتحرك/الفني,2024-03-04,85.237,v1_breakout,93.7607,1,86.097,21,V2-0033,76.7133,85.237,420715184.61,0.0,TRAILING_WIN,52.85,1.0,v2_from_v1_success,62,CLOSED,10.0,86.0894,NVDA_monthly_breakout_100,74.3487,NVDA,monthly,0.0,1.3,12.4,10,70.0
11569980681.21,v1_success_swing,3080.4,2024-03-06,213.5744,ضرب الوقف المتحرك/الفني,2024-03-04,205.36,v1_breakout,215.628,2,214.81,10,V2-0034,193.0384,205.13,115699806.81,0.0,TRAILING_WIN,123.22,4.0,v2_from_v1_success,15,CLOSED,6.0,213.5744,AMD_swing_breakout_20,187.7371,AMD,swing,0.0,-0.24,-2.72,5,40.0
900108131.97,v1_success_monthly,1904.4,2024-03-06,81.7305,ضرب الوقف المتحرك/الفني,2024-03-04,79.35,v1_breakout,87.285,2,82.51,21,V2-0035,71.415,78.73,9001081.32,0.0,TRAILING_WIN,57.13,3.0,v2_from_v1_success,24,CLOSED,10.0,81.7305,MRVL_monthly_breakout_100,70.5557,MRVL,monthly,0.0,0.95,17.41,22,50.0
