avg_return,designed_pass,loss_count,median_return,ticker,total_return,trades,win_rate
-0.22,False,2,-0.95,MSFT,-1.13,4,50.0
1.3,True,2,2.76,NVDA,12.4,10,70.0
1.28,True,4,2.6,GOOGL,16.85,13,61.54
1.09,True,3,3.31,AMZN,8.48,8,62.5
-3.45,False,9,-7.28,TSLA,-36.24,12,25.0
-1.55,False,7,-3.71,META,-14.95,10,30.0
3.33,True,2,6.5,AVGO,28.27,8,75.0
0.83,True,5,3.06,LLY,10.76,14,64.29
0.68,True,3,1.59,COST,5.81,9,66.67
0.07,False,2,0.07,CRM,0.09,4,50.0
0,False,0,0,ADBE,0,0,0
-0.62,False,3,-6.75,AMD,-4.4,5,40.0
0.04,False,4,-0.84,TMO,-0.01,9,44.44
-1.18,False,3,-1.81,NOW,-7.04,6,16.67
0.93,False,1,2.25,INTU,4.59,5,60.0
0.43,False,4,2.33,ISRG,4.31,11,54.55
0.62,False,3,3.83,SNPS,3.96,7,57.14
1.08,True,5,5.31,PANW,17.65,17,58.82
1.55,True,8,6.39,ANET,35.75,22,59.09
1.59,True,4,5.38,KLAC,14.98,10,60.0
1.37,True,6,4.37,LRCX,19.16,15,60.0
0.47,True,4,0.89,CDNS,5.1,13,61.54
-0.52,False,6,-3.04,FTNT,-6.76,12,41.67
0.43,False,9,1.89,MRVL,3.72,22,50.0
0.07,False,4,0.08,TEAM,-2.36,8,50.0
1.78,False,3,7.62,DDOG,11.42,7,57.14
-0.82,False,3,-2.68,TTD,-5.31,6,33.33
-0.54,False,2,-1.19,HUBS,-2.47,4,50.0
-1.68,False,5,-4.07,ZS,-11.66,7,28.57
-1.56,False,8,-6.63,NET,-25.27,16,37.5
2.51,True,5,5.93,CRWD,56.19,19,68.42
-0.94,False,4,-2.55,SNOW,-7.78,8,37.5
-0.92,False,2,-1.93,WDAY,-3.8,4,25.0
1.05,False,1,3.0,NKE,3.06,3,66.67
1.11,False,4,5.15,CAT,13.87,13,53.85
-2.0,False,3,-3.0,HON,-9.68,5,20.0
-0.85,False,1,-0.85,LIN,-1.74,2,50.0
0.53,False,3,3.25,REGN,3.4,7,57.14
0.87,True,4,3.0,VRTX,8.4,10,60.0
1.46,True,5,4.81,ABNB,22.89,15,66.67
0.71,False,6,0.71,SHOP,3.98,12,50.0
-1.78,False,9,-4.9,SPOT,-22.0,13,30.77
